Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
88.0,3065126007,1222,2508286.4,3594.0,1684,18619213,3401274.4,cudaEventSynchronize
4.9,172385431,24101,7152.6,4147.0,3070,39649900,267603.5,cudaLaunchKernel
2.1,72564726,16830,4311.6,4190.0,3259,23820,734.2,cudaLaunchKernelExC_v11060
1.8,61088195,10146,6020.9,5422.0,2924,462130,5836.4,cudaMemcpyAsync
1.0,36481610,512,71253.1,59854.0,53825,559763,46648.9,cudaGraphLaunch_v10000
0.8,26575051,7777,3417.1,3099.0,1994,102780,2226.6,cudaEventRecordWithFlags_v11010
0.4,13032329,2431,5360.9,4337.0,3110,63885,2367.0,cudaMemsetAsync
0.3,10436336,2624,3977.3,3876.0,3128,12767,588.9,cuLaunchKernel
0.2,8400745,12196,688.8,522.0,323,49446,708.6,cudaEventQuery
0.2,5365586,13811,388.5,374.0,233,2203,132.9,cuKernelGetFunction
0.1,2981144,8906,334.7,295.0,227,14553,267.7,cudaStreamIsCapturing_v10000
0.1,2525099,1240,2036.4,1953.5,453,49461,1721.2,cudaEventCreateWithFlags
0.0,1534567,1222,1255.8,1110.5,678,37859,1610.0,cudaEventDestroy
0.0,1417591,611,2320.1,2250.0,1771,18747,962.5,cudaStreamWaitEvent
0.0,1238357,6,206392.8,185597.0,142060,344640,70926.4,cudaMalloc
0.0,1142558,91,12555.6,11139.0,4004,68233,9370.9,cudaHostAlloc
0.0,946930,11187,84.6,80.0,51,438,20.5,cuFuncGetName
