PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
4297,4297,0,20,19,16461809.6,15554180.5,8457087,39651144,6801248.7,1987626.6,5364.5,4806,39649900,8864779.3,15234780.9,15092956.0,8450326,21203595,4168970.3,1143.0,1121.0,1088,1281,41.7,cudaLaunchKernel,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
4297,4297,0,20,20,14971046.1,15576744.0,539739,21710555,5295275.3,4849.4,4783.5,4186,7173,639.1,14448985.5,15055450.0,441,21180507,5295154.5,517211.3,517413.0,505295,532125,6386.1,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
4297,4297,0,512,512,12859485.0,13005490.0,3978748,27690862,5211804.8,8366.4,8040.5,6800,72113,3323.7,12836818.5,12983330.5,3964654,27660732,5206683.0,14300.0,14504.0,5154,21356,5394.9,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
4297,4297,0,611,610,12525053.0,12655666.0,41068,27667658,5218696.7,5476.3,5330.0,4187,41068,1738.8,12538722.8,12652948.5,423009,27661105,5198263.2,1377.4,1377.0,1089,2145,78.2,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
4297,4297,0,99,98,11048468.1,10234581.0,833052,39655648,5545364.6,107140.5,5221.0,4641,10097311,1014295.4,11051986.6,10307707.0,827009,39648336,5572944.3,987.6,960.0,928,1792,109.8,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
4297,4297,0,99,98,10960089.9,10489538.0,456759,21679688,4913292.8,39712.7,5386.0,4684,3392589,340416.1,11025973.4,10537176.5,441497,21667945,4877913.6,5781.8,5571.0,5443,8100,429.6,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
4297,4297,0,79,79,9951372.6,9968571.0,474473,17886356,4360837.2,4889.0,4854.0,4208,7021,413.4,9477982.5,9498155.0,66,17408713,4359338.9,468501.1,468283.0,464088,474975,2823.8,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
4297,4297,0,2072,2072,9725505.1,9461997.0,120458,21210989,3885151.8,3943.5,3849.0,3128,12767,573.4,9593905.4,9341061.0,380,20996880,3880502.7,127656.2,104552.0,102550,210384,28947.5,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
4297,4297,0,79,79,9504829.8,9524614.0,54292,17434826,4358554.5,5866.5,5247.0,4605,50625,5118.4,9495952.4,9516198.0,657,17427203,4359827.2,3010.9,2978.0,2881,3298,81.6,cudaLaunchKernel,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
4297,4297,0,3948,3947,9487297.0,8806081.5,70244,39680297,4461726.3,3968.3,3880.5,3070,13462,612.8,9407631.0,8726152.0,456,39433306,4435361.7,78080.7,66131.5,27695,490566,54923.4,cudaLaunchKernel,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
