Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.9,35159366951,4886,7195940.8,6293251.0,1000,111949023,8283539.3,epoll_wait
17.3,8465699638,2933,2886362.0,1766.0,1000,100171924,12971014.5,poll
10.2,5002430412,10,500243041.2,500268224.0,500066085,500330764,99516.9,pthread_cond_timedwait
0.4,173375491,20113,8620.1,7950.0,1385,161741,3589.0,send
0.1,45388923,221,205379.7,10229.0,3856,43123319,2900096.9,accept4
0.1,30994671,2454,12630.3,1221.0,1000,22933113,467327.2,read
0.0,10702799,2999,3568.8,3268.0,1000,158431,3654.9,write
0.0,9550061,1826,5230.0,4823.5,1049,153834,5609.2,recv
0.0,2744595,1488,1844.5,1326.0,1003,28111,1625.7,epoll_ctl
0.0,1449623,16,90601.4,87752.0,37477,210229,46933.4,pthread_create
0.0,1198584,79,15171.9,1272.0,1001,153131,31638.9,ioctl
0.0,384976,16,24061.0,12100.0,3299,130756,34384.8,futex
0.0,286645,25,11465.8,4520.0,1140,67380,15548.4,open64
0.0,134355,2,67177.5,67177.5,67024,67331,217.1,waitpid
0.0,102555,24,4273.1,2768.0,1045,16662,3612.4,pthread_cond_signal
0.0,76869,2,38434.5,38434.5,30102,46767,11783.9,pthread_mutex_lock
0.0,60236,24,2509.8,1336.0,1189,15484,3028.3,fread
0.0,50686,6,8447.7,7214.0,5629,12841,3018.6,fopen
0.0,45763,6,7627.2,5941.0,4743,13813,3565.8,fopen64
0.0,42321,3,14107.0,15606.0,9639,17076,3938.6,mmap64
0.0,24962,4,6240.5,6626.0,3663,8047,1917.6,mmap
0.0,23212,3,7737.3,5503.0,2854,14855,6304.8,statx
0.0,21103,4,5275.8,5828.5,3322,6124,1330.7,munmap
0.0,17852,11,1622.9,1390.0,1080,2294,425.4,fclose
0.0,17477,3,5825.7,5282.0,4519,7676,1647.2,fputc
0.0,15200,5,3040.0,1883.0,1584,5104,1753.6,pipe2
0.0,9011,4,2252.8,2037.0,1291,3646,1094.4,flock
0.0,6103,3,2034.3,2454.0,1182,2467,738.2,dup2
0.0,4828,2,2414.0,2414.0,1833,2995,821.7,fwrite
0.0,4381,1,4381.0,4381.0,4381,4381,0.0,pthread_cond_broadcast
0.0,3079,2,1539.5,1539.5,1446,1633,132.2,sigaction
