Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
80.7,3540916220,3867,915675.3,156724.0,791,11319535,2331490.7,cudaEventSynchronize
7.1,311933778,18926,16481.8,4406.0,2428,11252324,338263.6,cudaMemcpyAsync
4.8,209891266,613,342400.1,2950.0,850,10787527,1479405.9,cudaStreamSynchronize
4.5,197992868,54454,3636.0,3363.0,2602,5826851,25001.5,cudaLaunchKernel
1.6,71371335,483,147766.7,93757.0,48020,1675741,136112.1,cudaGraphLaunch_v10000
0.3,14508979,5490,2642.8,2419.0,446,300361,4471.1,cudaEventRecordWithFlags_v11010
0.2,10132398,2734,3706.1,3019.0,2259,47757,1781.5,cudaMemsetAsync
0.2,7727244,2374,3254.9,3175.0,2674,10520,480.4,cuLaunchKernel
0.1,3787994,4333,874.2,601.0,245,642249,9833.8,cudaEventCreateWithFlags
0.1,3678576,4297,856.1,513.0,329,1238706,18891.0,cudaEventDestroy
0.1,3509238,1569,2236.6,2187.0,406,12583,498.2,cudaEventRecord
0.1,2899838,4739,611.9,482.0,249,7441,378.4,cudaEventQuery
0.1,2890308,9,321145.3,199853.0,3523,1633321,500591.6,cudaMalloc
0.1,2413189,7135,338.2,307.0,235,12133,208.7,cudaStreamIsCapturing_v10000
0.0,1306384,1156,1130.1,1019.5,547,8989,554.0,cudaStreamWaitEvent
0.0,1145223,7930,144.4,137.0,119,32361,369.8,cudaGetDevice
0.0,868000,2374,365.6,324.0,241,6175,254.0,cuKernelGetFunction
0.0,642073,72,8917.7,6932.5,2510,32108,5537.9,cudaHostAlloc
0.0,187232,2521,74.3,73.0,61,605,12.8,cuDevicePrimaryCtxGetState
0.0,95810,84,1140.6,472.0,331,57420,6215.8,cudaFuncSetAttribute
0.0,73644,1197,61.5,57.0,44,594,26.8,cudaGetLastError
0.0,45936,90,510.4,394.0,307,3949,561.2,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,41176,252,163.4,151.0,131,1247,83.5,cudaDeviceGetAttribute
0.0,36571,84,435.4,402.5,368,1410,138.8,cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,16255,282,57.6,56.0,43,202,16.1,cuCtxGetCurrent
0.0,10729,56,191.6,196.0,144,522,56.3,cuOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,6186,56,110.5,94.0,78,559,67.1,cuFuncGetAttribute
0.0,2021,1,2021.0,2021.0,2021,2021,0.0,cudaFree
0.0,826,1,826.0,826.0,826,826,0.0,cuCtxGetLimit
0.0,288,2,144.0,144.0,80,208,90.5,cudaDriverGetVersion
