PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
3605,3725,0,578,578,10223814.8,9305485.0,449477,22937823,6607290.7,15799.7,5646.0,3711,5826851,242132.4,10188019.9,9286799.0,60,22894164,6607584.4,19995.3,17969.0,5024,38530,12483.0,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
3605,3725,0,578,577,10200452.6,9291307.0,65423,22924595,6616674.9,4377.1,4130.0,3453,64760,2787.5,10212415.2,9300915.0,435681,22919024,6608784.4,1329.6,1344.0,1120,1536,71.1,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
3605,3725,0,1156,1149,7098648.8,6394679.5,5740,22900293,6295645.7,4745.4,4023.5,3233,236886,7223.0,7135852.2,6401696.0,43,22895093,6290865.7,1264.8,1184.0,992,1664,155.4,cudaLaunchKernel,"sglang::<unnamed>::write_token_pool_kernel(int *, long, long, long, const long *, const long *, const int *, long)"
3605,3725,0,483,483,4752366.5,4177873.0,6804,11503761,3972494.3,3992.6,3829.0,3094,30494,1394.3,4746064.0,4172051.0,594,11497700,3972558.3,2309.9,2304.0,1665,2752,133.9,cudaLaunchKernel,"sglang::flashinfer_backend_detail::build_decode_indices_kernel(const int *, long, long, long, const int *, const int *, int *, int)"
3605,3725,0,1156,1156,3988142.1,3300465.0,5484,11534830,4044682.4,3671.8,3569.0,2980,19747,815.3,3983184.7,3295612.5,670,11529839,4044631.4,1285.6,1216.0,992,1760,176.7,cudaLaunchKernel,"sglang::<unnamed>::gather_int32_2d_kernel(const int *, long, long, long, const long *, const long *, int *, long)"
3605,3725,0,22,22,1435580.9,1337956.0,856258,2235716,381581.7,4087.9,4036.5,3591,5157,421.6,918011.9,818655.0,346753,1717447,381487.8,513481.2,513251.0,505683,517780,3357.2,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
3605,3725,0,73,73,936382.2,947580.0,469515,1377245,260050.2,4588.1,4509.0,4085,10044,724.9,463972.4,475339.0,770,899687,257510.3,467821.7,466962.0,463954,475506,3570.9,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
3605,3725,0,1876,1875,799070.6,804686.0,108561,1822527,305478.0,3219.5,3158.0,2674,10520,422.9,669800.2,646180.0,270,1612586,295242.9,126408.2,104724.0,102660,207208,27892.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
3605,3725,0,1428,1428,677114.4,743591.0,60203,1639343,262957.7,3351.0,3298.0,2831,8621,367.0,606502.1,665026.0,681,1485211,248865.1,67261.3,75299.0,41921,151334,17660.4,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
3605,3725,0,2660,2658,637177.9,589684.0,6281,2028250,422724.0,3523.8,3406.0,2961,23428,841.3,624597.7,578018.5,454,2000004,418494.8,9527.7,8928.5,1696,25985,4689.6,cudaLaunchKernel,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<(bool)0, (unsigned int)128, (unsigned int)8, (unsigned int)16, __nv_bfloat16, int>(T5 *, T5 *, T5 *, T5 *, float *, float *, T6 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
