Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.3,334841520205,666,502765045.4,16583257.5,1001,3571396797,889555841.7,epoll_wait
1.8,6427044686,640,10042257.3,7631185.0,69510,102076702,10231979.3,pthread_cond_wait
1.5,5106115476,51,100119911.3,100119355.0,100107985,100154024,5998.3,poll
1.4,5000670957,10,500067095.7,500068659.0,500010491,500090891,21704.8,pthread_cond_timedwait
0.0,79515240,166,479007.5,2679.0,1169,43611023,4343110.1,accept
0.0,5996852,128,46850.4,45925.0,9548,74513,15120.4,sendmsg
0.0,3143769,89,35323.2,27543.0,6979,95528,19584.7,shutdown
0.0,2187692,57,38380.6,1762.0,1053,888307,144236.3,ioctl
0.0,1974088,725,2722.9,2615.0,1105,18049,877.8,pthread_cond_signal
0.0,1911585,3,637195.0,604225.0,76858,1230502,577528.3,pthread_rwlock_wrlock
0.0,1556639,517,3010.9,2762.0,1002,8715,1266.0,recv
0.0,1390373,451,3082.9,2821.0,1020,17924,1675.7,epoll_ctl
0.0,224584,84,2673.6,2352.5,1387,4757,928.5,fflush
0.0,135381,6,22563.5,14363.0,2261,49914,19349.1,pthread_mutex_lock
0.0,33534,2,16767.0,16767.0,13464,20070,4671.1,pthread_rwlock_rdlock
0.0,23558,22,1070.8,1065.0,1002,1176,47.8,write
0.0,18597,3,6199.0,6594.0,4799,7204,1250.2,munmap
0.0,17487,3,5829.0,6232.0,4473,6782,1206.1,mmap
0.0,3034,2,1517.0,1517.0,1070,1964,632.2,pthread_cond_broadcast
