Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
64.0,559332157,144,3884251.1,3249369.0,9998,16258432,2942441.1,cudaEventSynchronize
26.2,229033808,68048,3365.8,3051.0,2511,14169431,54318.3,cudaLaunchKernel
5.5,48203347,11056,4359.9,4190.0,2218,31989,1212.7,cudaMemcpyAsync
2.7,23466217,7831,2996.6,2945.0,2524,12242,422.0,cuLaunchKernel
0.4,3412402,1068,3195.1,2609.0,2061,11963,1379.5,cudaMemsetAsync
0.3,2778389,7831,354.8,298.0,235,171843,2191.6,cuKernelGetFunction
0.2,1775904,12,147992.0,89474.5,64667,442508,132103.2,cudaGraphLaunch_v10000
0.2,1688837,596,2833.6,2497.5,1738,14429,1142.6,cudaEventRecordWithFlags_v11010
0.2,1546389,8,193298.6,233010.0,2839,315373,124308.6,cudaMalloc
0.1,696136,220,3164.3,2979.5,2012,9248,661.5,cudaStreamSynchronize
0.1,478515,162,2953.8,3222.5,424,9455,1145.5,cudaEventQuery
0.0,424764,308,1379.1,1396.0,240,3065,381.7,cudaEventCreateWithFlags
0.0,420191,289,1453.9,1294.0,650,4703,612.9,cudaStreamWaitEvent
0.0,400824,902,444.4,381.5,249,12211,425.7,cudaStreamIsCapturing_v10000
0.0,358792,42,8542.7,6137.0,2719,23054,4970.4,cudaHostAlloc
0.0,214869,287,748.7,734.0,442,2239,172.1,cudaEventDestroy
0.0,4030,3,1343.3,1024.0,979,2027,592.5,cuLibraryGetKernel
0.0,1717,1,1717.0,1717.0,1717,1717,0.0,cudaFree
0.0,1022,1,1022.0,1022.0,1022,1022,0.0,cuModuleGetLoadingMode
