Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.2,353677285,2245,157540.0,171576.0,64702,223478,31199.7,"void flashinfer::BatchDecodeWithPagedKVCacheKernel<(flashinfer::PosEncodingMode)0, (unsigned int)2, (unsigned int)1, (unsigned int)8, (unsigned int)16, (unsigned int)2, (unsigned int)4, flashinfer::ComposedAttention<flashinfer::BatchDecodeParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>, (unsigned int)2>>(T8::ParamsT)"
15.7,190434628,2380,80014.5,77885.0,28255,179640,32617.7,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
9.0,109791455,640,171549.1,107659.0,104539,514440,131407.6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
7.1,85707000,1456,58864.7,68861.0,11679,120730,34188.1,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<(flashinfer::MaskMode)1, (flashinfer::PosEncodingMode)0, (unsigned int)2, (unsigned int)8, (unsigned int)2, (unsigned int)4, (unsigned int)1, float, flashinfer::ComposedAttention<flashinfer::BatchPrefillPagedParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>, (unsigned int)2>>(flashinfer::uint_fastdiv, T9::ParamsT)"
6.0,73245409,1176,62283.5,58893.0,19455,84252,17536.6,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
5.7,69491878,4798,14483.5,12639.0,8223,18655,2935.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Params)
3.2,39186712,14938,2623.3,1823.0,1471,14752,1971.4,"void flashinfer::norm::RMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, float, float)"
3.1,37795516,1853,20396.9,20383.0,19935,21247,199.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_tn_align8>(T1::Params)
2.4,29430935,1966,14970.0,14944.0,14655,15551,121.4,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn
2.2,27206036,11106,2449.7,1920.0,1600,12543,1201.7,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.1,25042826,812,30840.9,28094.0,27039,40670,4837.2,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn
2.0,24063897,3701,6502.0,2112.0,1952,30015,6620.2,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &sglang::d_silu>(T1 *, const T1 *, int)"
