Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.3,242731601421,432,561878707.0,6841967.0,107556,10376349010,1476695088.9,pthread_cond_wait
34.0,138981044221,9194,15116493.8,8429303.0,1000,2866848208,78926503.2,epoll_wait
3.3,13626251244,144,94626744.8,100513953.5,2918,276562039,30630962.9,poll
3.2,13011819431,26,500454593.5,500063398.5,500033813,510241548,1996172.3,pthread_cond_timedwait
0.1,319265527,3020,105717.1,2738.0,1010,309703076,5635567.1,read
0.1,270318173,1350,200235.7,26021.5,1000,86131304,2536318.3,ioctl
0.0,95126216,8919,10665.6,9620.0,2232,241686,5200.9,sendmsg
0.0,54905319,318,172658.2,161772.0,132554,290334,25860.6,pthread_create
0.0,53333309,88,606060.3,1473.5,1196,18519406,3236461.1,fopen
0.0,31604276,110,287311.6,4403.0,2498,31019839,2957120.5,accept
0.0,23817516,8920,2670.1,2605.0,1002,50537,1216.7,epoll_ctl
0.0,16524673,12,1377056.1,3211.0,1241,16482748,4757059.8,open
0.0,12265186,209,58685.1,58056.0,46450,70372,3345.0,sleep
0.0,4141109,206,20102.5,1794.0,1007,679943,91760.5,pthread_mutex_lock
0.0,3321547,8,415193.4,167825.0,22333,1510605,545049.6,pthread_rwlock_wrlock
0.0,2057758,56,36745.7,43250.5,3376,61293,17426.6,shutdown
0.0,1974245,209,9446.1,9102.0,8286,33146,2339.7,fgets
0.0,1227158,431,2847.2,2815.0,1475,8085,628.6,pthread_cond_signal
0.0,1116287,25,44651.5,3944.0,1808,763846,151155.4,mmap64
0.0,1047441,1,1047441.0,1047441.0,1047441,1047441,0.0,pthread_cond_clockwait
0.0,878750,295,2978.8,2596.0,1066,17610,1586.1,recv
0.0,437277,91,4805.2,4475.0,1048,11289,1755.0,munmap
0.0,434231,99,4386.2,3388.0,1437,38743,4220.4,mmap
0.0,352475,10,35247.5,33143.5,24078,52416,8870.0,sem_timedwait
0.0,207121,44,4707.3,3626.5,1488,12256,2968.6,open64
0.0,178131,64,2783.3,2400.0,1020,10023,1706.1,fflush
0.0,136867,26,5264.1,5392.5,1002,12067,3270.7,fwrite
0.0,118932,6,19822.0,20476.5,11636,27826,5560.5,fopen64
0.0,113281,8,14160.1,13045.5,9246,21031,4530.0,pthread_rwlock_rdlock
0.0,46076,13,3544.3,3523.0,1111,7401,1926.1,fclose
0.0,44306,28,1582.4,1390.0,1002,2987,592.5,write
0.0,27194,3,9064.7,6597.0,4900,15697,5806.1,pthread_cond_broadcast
0.0,25125,1,25125.0,25125.0,25125,25125,0.0,openat
0.0,21284,3,7094.7,5737.0,4723,10824,3269.2,socket
0.0,15415,7,2202.1,2584.0,1008,2789,786.3,putc
0.0,10823,3,3607.7,4329.0,1591,4903,1769.9,pipe2
0.0,8704,1,8704.0,8704.0,8704,8704,0.0,connect
0.0,8166,2,4083.0,4083.0,2713,5453,1937.5,bind
0.0,2470,1,2470.0,2470.0,2470,2470,0.0,listen
0.0,1717,1,1717.0,1717.0,1717,1717,0.0,signal
0.0,1301,1,1301.0,1301.0,1301,1301,0.0,fcntl
