Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.1,3114447145,1216,2561223.0,3266.0,1687,26638872,3513148.6,cudaEventSynchronize
4.6,161338363,24053,6707.6,3661.0,2877,39658938,268020.8,cudaLaunchKernel
1.9,66628779,16660,3999.3,3816.0,3186,79309,1355.4,cudaLaunchKernelExC_v11060
1.5,52117934,10104,5158.1,4600.5,2745,93383,2305.7,cudaMemcpyAsync
0.9,33047869,510,64799.7,56128.5,49197,249813,30016.5,cudaGraphLaunch_v10000
0.6,21780763,7739,2814.4,2624.0,1674,98393,1567.9,cudaEventRecordWithFlags_v11010
0.3,12042775,2512,4794.1,3636.5,2427,569083,11462.7,cudaMemsetAsync
0.3,9233355,2539,3636.6,3405.0,2812,51049,1589.8,cuLaunchKernel
0.2,7992785,12140,658.4,510.0,307,15572,520.1,cudaEventQuery
0.2,5415155,13613,397.8,384.0,228,11464,194.0,cuKernelGetFunction
0.1,3060132,8863,345.3,297.0,229,15921,274.8,cudaStreamIsCapturing_v10000
0.1,2195480,1234,1779.2,1742.0,474,33842,972.5,cudaEventCreateWithFlags
0.0,1423264,1216,1170.4,1087.0,742,30524,873.4,cudaEventDestroy
0.0,1284329,608,2112.4,2130.0,1614,3774,157.1,cudaStreamWaitEvent
0.0,1155243,6,192540.5,178517.0,132710,292198,54685.7,cudaMalloc
0.0,992364,91,10905.1,7965.0,4034,36350,6405.5,cudaHostAlloc
0.0,928152,11074,83.8,82.0,48,558,24.5,cuFuncGetName
