Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
27.0,317802325,3948,80497.0,66047.0,27712,490139,59558.6,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
21.0,246398627,1932,127535.5,105951.0,102527,210526,29345.5,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
13.9,163176739,2716,60079.8,67487.0,10304,214846,37176.3,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)128, (unsigned int)2, (unsigned int)2, (unsigned int)8, (unsigned int)8, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, PagedParams>(T2)"
8.9,104025612,1540,67549.1,75391.0,22176,152126,20049.1,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
4.6,53971417,980,55072.9,52031.0,51647,149567,16036.3,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn
3.6,42450810,1260,33691.1,26880.0,16351,78847,13672.9,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn
3.1,37004886,79,468416.3,468411.0,463739,473787,2960.9,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
1.7,19683845,1036,18999.9,19008.0,6688,30303,6122.9,"void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)16, (unsigned int)8, (unsigned int)4, __nv_bfloat16, __nv_bfloat16, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)"
1.6,19299444,308,62660.5,77935.0,41279,86591,18671.7,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn
1.5,17593986,5488,3205.9,2848.0,1408,30719,2517.2,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o102410241_tensorptrbf16gmemalign128o102410241_tensorptrbf16gmemalign_0
