PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
15998,15998,0,19,18,17816225.3,16318723.0,8376401,39659359,7354262.8,2091875.1,4745.0,4229,39658938,9097279.5,16596756.9,16299823.0,8369914,27827738,5257431.9,1150.3,1120.0,1088,1280,51.7,cudaLaunchKernel,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
15998,15998,0,19,19,16221240.2,16789857.0,541661,28320608,6366976.8,4147.5,4013.0,3674,6929,700.2,15700877.4,16266238.0,401,27802779,6368795.9,516215.3,516923.0,504731,534331,6762.8,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
15998,15998,0,510,510,12989057.0,13119633.0,4264497,34453171,5319029.1,7508.2,7321.5,6051,65135,2899.4,12967220.0,13097816.0,4251931,34429629,5313975.1,14328.9,14560.0,5152,21344,5374.1,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
15998,15998,0,608,607,12648276.1,12872798.0,41605,34433148,5396016.5,4982.6,4896.0,3704,41605,1824.4,12662754.0,12870080.0,413461,34426716,5375941.3,1368.3,1376.0,1088,2176,76.1,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
15998,15998,0,28,28,11570022.3,11556702.5,9638877,13660982,1186642.5,3997.5,3792.0,3451,6883,676.0,11561747.1,11548741.5,9630920,13649587,1186365.8,4277.6,4256.0,4224,4512,62.7,cudaLaunchKernel,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)64, (unsigned int)1, (unsigned int)4, (unsigned int)8, (unsigned int)8, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, PagedParams>(T2)"
15998,15998,0,28,28,11545218.2,11535755.5,9618088,13569441,1181728.3,3498.4,3370.5,3086,5645,519.9,11520152.0,11511320.5,9593277,13536788,1180504.6,21567.8,20863.5,20640,29728,2081.4,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x2_tn_align8>(T1::Params)
15998,15998,0,98,97,11120968.8,10255187.0,968295,39642879,6027281.7,107341.1,4578.0,4196,9981336,1007726.1,11126189.8,10264613.0,962590,39635793,6058090.5,981.2,960.0,928,1600,90.6,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
15998,15998,0,98,97,11030602.3,10589752.0,448438,28287237,5458413.5,38286.2,4814.5,4370,3270955,329915.7,11099765.3,10616352.0,433045,28275905,5428731.6,5818.7,5632.0,5440,8127,417.6,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
15998,15998,0,112,112,9923891.6,10902017.5,3413212,14013201,3099350.9,3433.8,3295.0,2812,5280,484.4,9907613.6,10887854.0,3395814,13992818,3100150.5,12844.1,13856.0,8479,20832,2709.5,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Params)
15998,15998,0,79,79,9788161.6,9719786.0,476137,17964989,4495971.2,4439.0,4252.0,3848,17510,1522.2,9315306.4,9244938.0,268,17489121,4494507.3,468416.3,468411.0,463739,473787,2960.9,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
15998,15998,0,1932,1927,9602234.2,9468655.0,109299,27269847,4086150.0,3658.6,3415.0,2938,51049,1709.1,9495625.4,9354041.0,365,27058827,4056503.6,127535.5,105951.0,102527,210526,29345.5,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
15998,15998,0,79,79,9341282.4,9268439.0,53617,17513648,4492357.2,5373.5,4506.0,4187,50171,5372.2,9332884.3,9260992.0,406,17505683,4493841.6,3024.6,3008.0,2880,3328,88.8,cudaLaunchKernel,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
15998,15998,0,3948,3932,9330604.3,8673532.0,44562,39665079,4836419.7,3758.0,3515.0,2924,49366,1706.7,9283988.8,8617170.0,40,39418101,4781085.7,80497.0,66047.0,27712,490139,59558.6,cudaLaunchKernel,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
15998,15998,0,1540,1540,9272411.1,9091007.5,90705,27907463,4190230.5,3631.2,3491.5,3027,12012,547.9,9201230.8,9025911.0,523,27752087,4183699.3,67549.1,75391.0,22176,152126,20049.1,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
15998,15998,0,2744,2744,8712101.0,8365309.5,16632,39434084,4296307.3,3786.5,3611.0,3186,35878,1098.2,8702144.0,8358602.0,1004,39351307,4291434.8,6170.5,3936.0,1216,99647,11147.4,cudaLaunchKernelExC_v11060,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &silu>(T1 *, const T1 *, int)"
15998,15998,0,308,308,8693370.1,8506632.5,3447415,15118559,2939813.0,3505.8,3429.5,2968,11110,635.7,8627203.8,8442421.0,3370622,15069543,2937783.7,62660.5,77935.0,41279,86591,18671.7,cudaLaunchKernel,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn
15998,15998,0,5488,5477,8683332.7,8343719.0,12576,39673653,4286941.1,4130.0,3942.0,3443,79309,1657.8,8693425.1,8343790.0,92,39646962,4272612.5,3205.9,2848.0,1408,30719,2517.2,cudaLaunchKernelExC_v11060,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o102410241_tensorptrbf16gmemalign128o102410241_tensorptrbf16gmemalign_0
15998,15998,0,5488,5479,8622414.5,8320131.5,12883,38554160,4216367.2,3982.8,3817.5,3306,36598,1176.4,8629856.5,8320704.0,304,38533432,4204593.5,2731.1,2399.5,1152,31551,2437.6,cudaLaunchKernelExC_v11060,kernel_cutlass_kernel_flashinfernormkernelsrmsnormQKRMSNormKernel_object_at__tensorptrbf16gmemalign16o128i64div8i64div81_tensorptrbf16gmemalign16o1281_tensorptrbf16gmemalign16o128i64div8i_0
15998,15998,0,2744,2739,8611298.3,8307655.5,10187,38562714,4218834.4,3843.3,3645.0,3183,29876,1082.2,8617865.5,8305831.0,32,38538580,4205362.5,5299.3,4992.0,1280,21855,2619.5,cudaLaunchKernel,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<(bool)0, (unsigned int)128, (unsigned int)8, (unsigned int)16, __nv_bfloat16, int>(T5 *, T5 *, T5 *, T5 *, float *, T6 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
15998,15998,0,2744,2737,8589063.3,8269328.0,7741,38560696,4222589.0,3850.5,3618.0,3219,38591,1144.2,8604378.9,8278817.0,322,38540822,4204875.6,2787.7,2544.0,1152,16896,1734.2,cudaLaunchKernelExC_v11060,"void <unnamed>::store_kv_cache<(unsigned long)128, (unsigned long)1, (bool)0, (unsigned long)2048, int>(<unnamed>::StoreKernelParams)"
