Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
79.7,3474835304,3760,924158.3,15414.0,755,11293289,2378402.6,cudaEventSynchronize
6.4,279710923,18506,15114.6,4401.0,2525,11244219,307763.2,cudaMemcpyAsync
6.2,268221413,600,447035.7,2969.0,856,10885271,1640497.1,cudaStreamSynchronize
4.6,200467636,52636,3808.6,3327.0,2628,8344465,36541.3,cudaLaunchKernel
1.9,81033913,477,169882.4,88941.0,46222,1944804,203459.7,cudaGraphLaunch_v10000
0.3,14732275,5356,2750.6,2404.0,930,440358,6518.8,cudaEventRecordWithFlags_v11010
0.2,10491031,2753,3810.8,3033.0,2401,81296,2627.5,cudaMemsetAsync
0.2,8217217,2352,3493.7,3169.0,2766,53716,2506.2,cuLaunchKernel
0.1,3793745,4225,897.9,656.0,402,446905,6938.0,cudaEventCreateWithFlags
0.1,3541579,1534,2308.7,2146.0,1698,33671,1271.5,cudaEventRecord
0.1,3008323,4669,644.3,465.0,305,30043,955.0,cudaEventQuery
0.1,2578311,6976,369.6,310.0,232,77911,1095.8,cudaStreamIsCapturing_v10000
0.1,2450848,4189,585.1,494.0,330,19766,711.5,cudaEventDestroy
0.0,1655875,6342,261.1,243.0,201,87749,1106.3,cudaGetDevice
0.0,1595058,1138,1401.6,1065.0,575,58354,2744.3,cudaStreamWaitEvent
0.0,1559478,8,194934.8,227958.0,5361,317529,121046.3,cudaMalloc
0.0,928939,2352,395.0,328.5,245,7066,352.1,cuKernelGetFunction
0.0,709953,65,10922.4,9607.0,3156,27896,6237.3,cudaHostAlloc
0.0,266396,1997,133.4,129.0,103,6583,147.8,cuDevicePrimaryCtxGetState
0.0,170672,66,2585.9,759.5,505,121303,14839.4,cudaFuncSetAttribute
0.0,100637,953,105.6,97.0,74,859,39.9,cudaGetLastError
0.0,58206,216,269.5,254.0,202,1235,101.2,cudaDeviceGetAttribute
0.0,57582,73,788.8,630.0,480,5092,759.4,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,55821,66,845.8,809.5,656,2277,231.6,cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,23639,245,96.5,92.0,74,300,25.6,cuCtxGetCurrent
0.0,17181,56,306.8,300.0,236,1006,106.0,cuOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,11851,56,211.6,198.0,150,778,90.7,cuFuncGetAttribute
0.0,2235,1,2235.0,2235.0,2235,2235,0.0,cudaFree
0.0,1163,1,1163.0,1163.0,1163,1163,0.0,cuCtxGetLimit
