PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
15300,15420,0,569,568,10589989.1,9492908.0,448900,22990934,6353758.0,21434.0,5349.0,3777,8344465,350386.6,10566898.3,9487762.0,439431,22947951,6349076.6,20228.8,17920.0,5055,38495,12503.1,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
15300,15420,0,569,568,10560048.4,9479727.0,94790,22977188,6368169.6,4570.6,4127.0,3498,94790,4835.1,10572732.2,9488753.0,435554,22971604,6358541.0,1328.8,1344.0,1120,1568,60.3,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
15300,15420,0,1138,1129,7325200.8,6494765.0,5777,22957971,6229154.9,5053.1,4093.5,3247,336260,10944.2,7377235.3,6501570.0,214,22952829,6220252.7,1264.2,1184.0,992,1664,153.2,cudaLaunchKernel,"sglang::<unnamed>::write_token_pool_kernel(int *, long, long, long, const long *, const long *, const int *, long)"
15300,15420,0,477,475,4843951.1,4191554.0,6909,11517710,3940901.3,4412.8,3964.0,3373,76079,3954.3,4857599.1,4298378.0,297,11511105,3936829.1,2315.0,2336.0,1632,2784,139.7,cudaLaunchKernel,"sglang::flashinfer_backend_detail::build_decode_indices_kernel(const int *, long, long, long, const int *, const int *, int *, int)"
15300,15420,0,1138,1127,4079538.2,3332075.5,5528,11549745,4034038.4,4381.2,3825.5,3122,65931,3846.0,4113644.0,3328028.0,107,11544489,4033610.0,1286.1,1216.0,992,1760,172.8,cudaLaunchKernel,"sglang::<unnamed>::gather_int32_2d_kernel(const int *, long, long, long, const long *, const long *, int *, long)"
15300,15420,0,28,28,3253309.9,3067159.5,1812873,4958838,779987.1,4232.5,4156.0,3754,5239,366.4,2734250.8,2545602.5,1301104,4434598,778582.5,514826.6,514058.5,507579,521435,3567.3,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
15300,15420,0,1932,1927,2117756.4,2468874.5,108776,4400207,914937.4,3384.2,3148.5,2766,53716,2001.6,1989977.2,2311099.0,536,4136038,899315.7,129565.6,105039.0,102655,260541,33043.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
15300,15420,0,64,64,2021232.2,2156630.0,469209,3069238,859618.0,4602.7,4344.5,4005,12019,1151.0,1548708.9,1686480.0,720,2588965,856876.2,467920.6,466923.0,463707,475387,3619.8,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
15300,15420,0,92,92,1955167.3,1962983.0,5535,4487269,1002738.1,4895.8,4051.5,3652,78358,7750.6,1949406.8,1958082.5,645,4481319,1002153.9,864.7,832.0,832,1760,103.1,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
15300,15420,0,92,92,1931503.1,1939877.5,6847,4464412,999101.1,4744.9,4416.5,4161,20283,1738.9,1924961.0,1933646.0,725,4457893,998854.2,1797.2,1728.0,1632,2368,188.1,cudaLaunchKernel,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
15300,15420,0,4284,4275,1855564.9,1909822.5,32705,4712466,1056413.3,3401.6,3246.0,2750,62964,1686.7,1776544.5,1844390.0,307,4534553,1034711.8,79359.7,70687.0,27807,223997,40761.1,cudaLaunchKernel,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
15300,15420,0,1400,1399,1816978.2,2086266.0,59978,2808906,827852.8,3485.0,3254.0,2738,40046,1888.0,1748303.3,2030979.0,310,2721165,821068.9,66443.4,75391.0,42047,83583,12794.5,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
15300,15420,0,2576,2566,1637965.9,1774415.5,6815,4753351,1159627.4,3549.3,3327.0,2961,75654,2108.2,1630950.7,1763726.5,243,4728870,1154414.2,9809.4,9568.0,2112,22207,4228.3,cudaLaunchKernel,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<(bool)0, (unsigned int)128, (unsigned int)8, (unsigned int)16, __nv_bfloat16, int>(T5 *, T5 *, T5 *, T5 *, float *, float *, T6 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
15300,15420,0,7728,7696,1634039.1,1771707.5,5905,4719347,1151637.0,3511.2,3310.0,2956,54913,1727.0,1633524.0,1766888.0,96,4703840,1148405.4,3775.7,3392.0,1632,17088,1702.6,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
