[1m[2026-04-25|12:27:51][0m [32mINFO    [0m Parsed arguments:
ServerArgs(model_path='/root/.cache/huggingface/hub/models--Qwen--Qwen3-0.6B/snapshots/c1899de289a04d12100db370d81485cdf75e47ca', tp_info=DistributedInfo(rank=0, size=1), dtype=torch.bfloat16, max_running_req=256, attention_backend='auto', moe_backend='auto', cuda_graph_bs=None, cuda_graph_max_bs=None, page_size=1, memory_ratio=0.2, distributed_timeout=60.0, use_dummy_weight=False, use_pynccl=True, max_seq_len_override=4096, num_page_override=None, max_extend_tokens=16384, cache_type='radix', offline_mode=False, _unique_suffix='.pid=20700', server_host='127.0.0.1', server_port=1920, num_tokenizer=0, silent_output=False)
[1m[2026-04-25|12:27:53|core|rank=0][0m [32mINFO    [0m Auto-selected attention backend: fi
[1m[2026-04-25|12:27:54|initializer][0m [32mINFO    [0m Tokenize server 0 is ready
[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
[1m[2026-04-25|12:27:54|core|rank=0][0m [32mINFO    [0m Free memory before loading model: 31.21 GiB
Loading weights:   0%|          | 0/1 [00:00<?, ?it/s]Loading weights: 100%|██████████| 1/1 [00:00<00:00,  2.43it/s]Loading weights: 100%|██████████| 1/1 [00:00<00:00,  2.43it/s]
[1m[2026-04-25|12:27:55|core|rank=0][0m [32mINFO    [0m Allocating 46962 tokens for KV cache, K + V = 5.02 GiB
[1m[2026-04-25|12:27:55|core|rank=0][0m [32mINFO    [0m Free memory after initialization: 24.84 GiB
[1m[2026-04-25|12:27:55|core|rank=0][0m [32mINFO    [0m Start capturing CUDA graphs with sizes: [1, 2, 4, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160]
[1m[2026-04-25|12:27:55|core|rank=0][0m [32mINFO    [0m Free GPU memory before capturing CUDA graphs: 24.84 GiB
Preparing for capturing CUDA graphs...:   0%|          | 0/23 [00:00<?, ?batch/s]Capturing graphs: bs = 160 | avail_mem = 24.75 GiB:   0%|          | 0/23 [00:00<?, ?batch/s]Capturing graphs: bs = 160 | avail_mem = 24.75 GiB:   4%|▍         | 1/23 [00:01<00:25,  1.18s/batch]Capturing graphs: bs = 152 | avail_mem = 24.64 GiB:   4%|▍         | 1/23 [00:01<00:25,  1.18s/batch]Capturing graphs: bs = 144 | avail_mem = 24.64 GiB:   4%|▍         | 1/23 [00:01<00:25,  1.18s/batch]Capturing graphs: bs = 144 | avail_mem = 24.64 GiB:  13%|█▎        | 3/23 [00:01<00:07,  2.73batch/s]Capturing graphs: bs = 136 | avail_mem = 24.64 GiB:  13%|█▎        | 3/23 [00:01<00:07,  2.73batch/s]Capturing graphs: bs = 128 | avail_mem = 24.63 GiB:  13%|█▎        | 3/23 [00:01<00:07,  2.73batch/s]Capturing graphs: bs = 128 | avail_mem = 24.63 GiB:  22%|██▏       | 5/23 [00:01<00:03,  4.54batch/s]Capturing graphs: bs = 120 | avail_mem = 24.63 GiB:  22%|██▏       | 5/23 [00:01<00:03,  4.54batch/s]Capturing graphs: bs = 112 | avail_mem = 24.62 GiB:  22%|██▏       | 5/23 [00:01<00:03,  4.54batch/s]Capturing graphs: bs = 112 | avail_mem = 24.62 GiB:  30%|███       | 7/23 [00:01<00:02,  6.10batch/s]Capturing graphs: bs = 104 | avail_mem = 24.62 GiB:  30%|███       | 7/23 [00:01<00:02,  6.10batch/s]Capturing graphs: bs = 96  | avail_mem = 24.62 GiB:  30%|███       | 7/23 [00:01<00:02,  6.10batch/s]Capturing graphs: bs = 96  | avail_mem = 24.62 GiB:  39%|███▉      | 9/23 [00:01<00:01,  7.31batch/s]Capturing graphs: bs = 88  | avail_mem = 24.61 GiB:  39%|███▉      | 9/23 [00:01<00:01,  7.31batch/s]Capturing graphs: bs = 80  | avail_mem = 24.61 GiB:  39%|███▉      | 9/23 [00:01<00:01,  7.31batch/s]Capturing graphs: bs = 80  | avail_mem = 24.61 GiB:  48%|████▊     | 11/23 [00:02<00:01,  8.48batch/s]Capturing graphs: bs = 72  | avail_mem = 24.60 GiB:  48%|████▊     | 11/23 [00:02<00:01,  8.48batch/s]Capturing graphs: bs = 64  | avail_mem = 24.60 GiB:  48%|████▊     | 11/23 [00:02<00:01,  8.48batch/s]Capturing graphs: bs = 64  | avail_mem = 24.60 GiB:  57%|█████▋    | 13/23 [00:02<00:01,  9.40batch/s]Capturing graphs: bs = 56  | avail_mem = 24.60 GiB:  57%|█████▋    | 13/23 [00:02<00:01,  9.40batch/s]Capturing graphs: bs = 48  | avail_mem = 24.59 GiB:  57%|█████▋    | 13/23 [00:02<00:01,  9.40batch/s]Capturing graphs: bs = 48  | avail_mem = 24.59 GiB:  65%|██████▌   | 15/23 [00:02<00:00, 10.23batch/s]Capturing graphs: bs = 40  | avail_mem = 24.59 GiB:  65%|██████▌   | 15/23 [00:02<00:00, 10.23batch/s]Capturing graphs: bs = 32  | avail_mem = 24.58 GiB:  65%|██████▌   | 15/23 [00:02<00:00, 10.23batch/s]Capturing graphs: bs = 32  | avail_mem = 24.58 GiB:  74%|███████▍  | 17/23 [00:02<00:00, 10.89batch/s]Capturing graphs: bs = 24  | avail_mem = 24.58 GiB:  74%|███████▍  | 17/23 [00:02<00:00, 10.89batch/s]Capturing graphs: bs = 16  | avail_mem = 24.58 GiB:  74%|███████▍  | 17/23 [00:02<00:00, 10.89batch/s]Capturing graphs: bs = 16  | avail_mem = 24.58 GiB:  83%|████████▎ | 19/23 [00:02<00:00, 10.80batch/s]Capturing graphs: bs = 8   | avail_mem = 24.57 GiB:  83%|████████▎ | 19/23 [00:02<00:00, 10.80batch/s]Capturing graphs: bs = 4   | avail_mem = 24.57 GiB:  83%|████████▎ | 19/23 [00:02<00:00, 10.80batch/s]Capturing graphs: bs = 4   | avail_mem = 24.57 GiB:  91%|█████████▏| 21/23 [00:02<00:00, 11.18batch/s]Capturing graphs: bs = 2   | avail_mem = 24.56 GiB:  91%|█████████▏| 21/23 [00:02<00:00, 11.18batch/s]Capturing graphs: bs = 1   | avail_mem = 24.56 GiB:  91%|█████████▏| 21/23 [00:02<00:00, 11.18batch/s]Capturing graphs: bs = 1   | avail_mem = 24.56 GiB: 100%|██████████| 23/23 [00:03<00:00, 11.09batch/s]Capturing graphs: bs = 1   | avail_mem = 24.56 GiB: 100%|██████████| 23/23 [00:03<00:00,  7.53batch/s]
[1m[2026-04-25|12:27:58|core|rank=0][0m [32mINFO    [0m Free GPU memory after capturing CUDA graphs: 24.55 GiB
[1m[2026-04-25|12:27:58|core|rank=0][0m [32mINFO    [0m Scheduler is idle, waiting for new reqs...
[1m[2026-04-25|12:27:58|initializer][0m [32mINFO    [0m Scheduler is ready
[1m[2026-04-25|12:27:58|FrontendAPI][0m [32mINFO    [0m API server is ready to serve on 127.0.0.1:1920
INFO:     Started server process [20700]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:1920 (Press CTRL+C to quit)
INFO:     127.0.0.1:56768 - "GET /v1/models HTTP/1.1" 200 OK
INFO:     127.0.0.1:56784 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56794 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56804 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56820 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56836 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56848 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56862 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56874 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56880 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56890 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56892 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56896 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56906 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56916 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56926 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56928 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56932 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56948 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56964 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56968 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56974 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56986 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56994 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:56998 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57000 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57014 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57020 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57022 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57030 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57036 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57042 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57050 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57064 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57076 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57084 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57098 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57106 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57116 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57128 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57142 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57158 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57166 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57178 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57188 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57198 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57202 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57208 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57220 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57222 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57238 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57254 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57270 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57280 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57290 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57298 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57314 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57322 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57338 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57342 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57352 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57368 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57380 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57384 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:57390 - "POST /generate HTTP/1.1" 200 OK
