Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.4,3124032697,1222,2556491.6,3324.0,1746,21338691,3476114.2,cudaEventSynchronize
4.4,154483801,23893,6465.7,3424.0,2642,39864436,270623.5,cudaLaunchKernel
1.8,61164653,16660,3671.3,3530.0,2902,29226,632.3,cudaLaunchKernelExC_v11060
1.5,51658999,10155,5087.1,4533.0,2456,185002,2827.2,cudaMemcpyAsync
1.0,36016349,513,70207.3,57737.0,51678,643081,52149.1,cudaGraphLaunch_v10000
0.6,20918681,7775,2690.5,2410.0,1555,118175,2085.9,cudaEventRecordWithFlags_v11010
0.3,10453855,2403,4350.3,3435.0,2286,18215,1911.6,cudaMemsetAsync
0.2,8660137,2624,3300.4,3167.0,2705,11106,508.0,cuLaunchKernel
0.2,8289037,12207,679.0,525.0,294,24465,603.5,cudaEventQuery
0.2,5422330,13698,395.8,384.5,228,6393,140.0,cuKernelGetFunction
0.1,2966278,8905,333.1,293.0,228,21332,271.4,cudaStreamIsCapturing_v10000
0.1,2356156,1241,1898.6,1853.0,457,10344,432.7,cudaEventCreateWithFlags
0.0,1500882,1222,1228.2,1095.5,700,40084,1542.5,cudaEventDestroy
0.0,1352244,611,2213.2,2171.0,1784,14547,595.8,cudaStreamWaitEvent
0.0,1198768,6,199794.7,191947.0,133156,305030,58974.1,cudaMalloc
0.0,1140114,91,12528.7,12846.0,3670,62471,9247.8,cudaHostAlloc
0.0,982891,11074,88.8,87.0,49,6438,66.8,cuFuncGetName
