PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
21846,21846,0,20,19,17554350.5,16949208.0,8653646,39864551,7138703.2,1997554.4,4528.5,4026,39864436,8912939.1,16374420.3,16491749.0,8647728,24926069,4968427.5,1155.2,1152.0,1088,1280,48.6,cudaLaunchKernel,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
21846,21846,0,20,20,16054677.8,16599812.5,538675,25420312,6061827.3,4039.6,3966.0,3497,6089,577.2,15533104.0,16080227.0,592,24904939,6061802.3,517534.2,517049.5,505626,531994,6911.4,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
21846,21846,0,513,513,12935044.7,13124131.0,4012264,31628651,5269986.7,7474.4,7209.0,6360,66829,3125.9,12913237.1,13102516.0,3999912,31600016,5265019.4,14333.2,14560.0,5215,21279,5397.2,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
21846,21846,0,611,610,12640792.1,12761530.0,36884,31606978,5308680.5,4643.4,4567.0,3575,36732,1419.3,12655486.8,12756199.0,426646,31601013,5288322.5,1376.3,1376.0,1120,2144,74.3,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
21846,21846,0,98,97,11350583.8,10420537.5,1153227,39856294,5832455.6,108381.5,4076.5,3849,10220337,1031992.3,11357113.9,10416645.0,1148054,39849732,5861519.9,988.1,960.0,928,1824,120.8,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
21846,21846,0,98,97,11259068.5,10748455.5,462200,25390879,5248099.6,37993.6,4583.0,4137,3271987,330050.8,11330878.0,10790715.0,447620,25380143,5211369.7,5820.3,5600.0,5472,8159,449.0,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
21846,21846,0,2016,2015,10113086.6,9708178.5,123977,24521635,4351724.8,3274.2,3149.0,2705,11106,492.9,9983053.4,9561676.0,389,24361096,4340030.0,131711.4,113566.5,102559,229565,32524.4,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
21846,21846,0,78,78,10035346.5,9974220.0,474662,18210657,4338073.9,4165.4,4019.5,3737,10038,759.2,9563012.8,9500174.5,216,17734413,4336668.2,468168.3,468106.0,463802,474714,2868.0,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
21846,21846,0,78,78,9587658.9,9523740.0,52100,17758138,4335851.4,4893.7,4246.0,3880,48679,5032.9,9579736.7,9516584.0,381,17750926,4337176.8,3028.5,3008.0,2880,3328,71.3,cudaLaunchKernel,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
21846,21846,0,3892,3891,9462571.2,8681953.5,69261,39881491,4682631.7,3311.4,3180.0,2642,12879,551.5,9382621.5,8608651.0,314,39634715,4656118.9,79049.1,69583.0,27840,489530,55317.3,cudaLaunchKernel,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
