Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
79.3,3463040675,3884,891617.1,1819.5,830,11287236,2341225.6,cudaEventSynchronize
7.3,318647078,18450,17270.8,4509.0,2583,11307216,350795.7,cudaMemcpyAsync
5.6,244235138,614,397777.1,2924.0,836,10656592,1561669.6,cudaStreamSynchronize
4.8,207571511,54709,3794.1,3396.0,2652,7644856,32738.2,cudaLaunchKernel
1.7,74876462,478,156645.3,92994.0,48032,1363071,144298.6,cudaGraphLaunch_v10000
0.4,19218571,5487,3502.6,2462.0,580,3932813,53415.0,cudaEventRecordWithFlags_v11010
0.2,10451824,2702,3868.2,3140.5,2469,76403,2230.2,cudaMemsetAsync
0.2,8929058,2630,3395.1,3229.0,2811,27952,1218.0,cuLaunchKernel
0.1,4139156,4348,952.0,618.0,233,906017,13770.0,cudaEventCreateWithFlags
0.1,3710045,1557,2382.8,2220.0,1738,39283,1401.6,cudaEventRecord
0.1,3446348,4312,799.2,479.0,306,1018811,15514.8,cudaEventDestroy
0.1,2950664,4726,624.3,473.0,308,18564,514.1,cudaEventQuery
0.1,2517185,7119,353.6,333.0,233,13621,414.7,cudaStreamIsCapturing_v10000
0.0,1368415,9,152046.1,163167.0,3015,279966,98288.9,cudaMalloc
0.0,1339480,1148,1166.8,1034.0,560,10797,711.5,cudaStreamWaitEvent
0.0,980000,2630,372.6,325.0,260,6138,273.2,cuKernelGetFunction
0.0,679112,4340,156.5,138.0,122,44695,711.1,cudaGetDevice
0.0,611950,64,9561.7,6506.0,2472,42988,7644.3,cudaHostAlloc
0.0,103143,1373,75.1,73.0,62,1015,33.4,cuDevicePrimaryCtxGetState
0.0,84968,34,2499.1,479.0,342,67656,11514.8,cudaFuncSetAttribute
0.0,37995,600,63.3,57.0,45,531,33.7,cudaGetLastError
0.0,26552,152,174.7,153.0,135,1647,136.3,cudaDeviceGetAttribute
0.0,25060,41,611.2,358.0,280,3792,740.3,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,19317,34,568.1,488.0,428,1239,221.8,cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,9425,181,52.1,48.0,40,254,20.4,cuCtxGetCurrent
0.0,8669,56,154.8,137.0,125,820,93.0,cuOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,6588,56,117.6,109.0,79,665,84.2,cuFuncGetAttribute
0.0,1842,1,1842.0,1842.0,1842,1842,0.0,cudaFree
0.0,693,1,693.0,693.0,693,693,0.0,cuCtxGetLimit
