PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
21152,21272,0,574,573,10503273.1,9481392.5,450671,22786313,6344095.8,19116.1,5566.0,3953,7644856,318863.1,10482281.2,9444891.0,440772,22743631,6337901.2,20141.6,17999.5,4991,38656,12521.6,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
21152,21272,0,574,573,10475941.8,9466225.0,75623,22772701,6356992.7,4697.3,4389.0,3638,75141,3529.8,10488185.1,9460288.0,433723,22766895,6347641.5,1332.6,1344.0,1120,1631,68.2,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
21152,21272,0,1148,1144,7263633.3,6461792.5,5912,22751971,6204230.2,4769.7,4243.5,3408,243815,7326.3,7282978.8,6459394.0,356,22746854,6200655.8,1263.8,1216.0,992,1696,149.7,cudaLaunchKernel,"sglang::<unnamed>::write_token_pool_kernel(int *, long, long, long, const long *, const long *, const int *, long)"
21152,21272,0,478,476,4829610.9,4350186.0,6848,11517047,3914511.3,4315.3,3955.5,3492,36037,2482.0,4843239.5,4412291.0,6,11510618,3910285.1,2323.7,2336.0,1984,2720,127.3,cudaLaunchKernel,"sglang::flashinfer_backend_detail::build_decode_indices_kernel(const int *, long, long, long, const int *, const int *, int *, int)"
21152,21272,0,1148,1147,4040720.8,3311428.0,5517,11549713,4009881.6,3968.3,3774.5,3044,42818,1999.4,4038986.7,3305867.0,493,11544358,4009884.4,1285.1,1216.0,992,1728,170.5,cudaLaunchKernel,"sglang::<unnamed>::gather_int32_2d_kernel(const int *, long, long, long, const long *, const long *, int *, long)"
21152,21272,0,26,26,3200907.9,3065947.0,1809389,5819112,855559.3,4076.5,4043.5,3638,4727,276.9,2682526.5,2544604.0,1300084,5298071,854704.3,514304.9,516122.0,505497,518297,3683.9,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
21152,21272,0,2100,2098,2140644.8,2507786.5,108777,5621871,920968.6,3372.8,3214.0,2811,27952,1161.1,2010338.2,2348808.5,496,5389955,909189.0,128851.8,106079.0,102719,229789,30431.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
21152,21272,0,70,70,2018728.1,2147947.5,469143,3348506,852475.5,4410.8,4313.0,3956,6391,400.0,1546917.0,1673547.5,770,2871912,850546.3,467400.3,467626.5,463834,475066,3031.6,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
21152,21272,0,1540,1540,1955062.0,2242481.0,60052,5414906,1009915.7,3539.1,3343.0,2892,45508,1806.0,1881328.9,2157857.0,798,5245945,997295.0,70193.9,75487.0,42047,166366,19469.4,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
21152,21272,0,96,96,1897851.7,1884864.0,5625,5350442,995106.6,4869.7,4120.0,3809,65225,6289.6,1892113.4,1879917.0,750,5345159,994423.4,868.7,832.0,832,1152,69.5,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
