Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
90.3,3111116883,1234,2521164.4,3429.0,1495,21716255,3402903.7,cudaEventSynchronize
3.5,119613737,23953,4993.7,3525.0,2612,12374031,94025.6,cudaLaunchKernel
1.8,62328447,16490,3779.8,3580.0,2969,62670,891.8,cudaLaunchKernelExC_v11060
1.5,52081882,10248,5082.2,4498.0,2490,105805,2496.6,cudaMemcpyAsync
1.0,34702529,520,66735.6,58176.0,50603,336646,31240.2,cudaGraphLaunch_v10000
0.6,20700943,7844,2639.1,2430.0,1548,101389,1592.2,cudaEventRecordWithFlags_v11010
0.3,11159290,2605,4283.8,3346.0,2251,37235,2068.3,cudaMemsetAsync
0.3,8701331,12314,706.6,544.0,318,57246,735.3,cudaEventQuery
0.2,8524127,2515,3389.3,3207.0,2673,18705,655.4,cuLaunchKernel
0.2,5271844,13476,391.2,369.0,226,8307,162.4,cuKernelGetFunction
0.1,3261930,8988,362.9,322.0,235,14119,202.1,cudaStreamIsCapturing_v10000
0.1,1948074,1252,1556.0,1498.0,485,5961,317.5,cudaEventCreateWithFlags
0.0,1387998,7,198285.4,201088.0,139451,279199,42809.1,cudaMalloc
0.0,1284781,1234,1041.2,1017.0,607,4328,222.3,cudaEventDestroy
0.0,1256979,617,2037.2,2018.0,1646,4117,186.2,cudaStreamWaitEvent
0.0,1014590,91,11149.3,8586.0,3974,33165,5846.2,cudaHostAlloc
0.0,974929,10961,88.9,84.0,49,1144,30.6,cuFuncGetName
