PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
31435,31435,0,23,23,17236959.9,16802617.0,517111,36333106,7269949.7,3987.9,3878.0,3303,6307,625.5,16718422.2,16279569.0,702,35796039,7266738.4,514549.8,514485.0,503670,532309,6976.9,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
31435,31435,0,23,23,16757215.7,16304228.0,210961,35863242,7252596.9,13566.3,4573.0,3996,209543,42724.2,16742516.8,16299088.0,170,35856195,7273755.0,1132.5,1120.0,1088,1248,39.5,cudaLaunchKernel,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
31435,31435,0,520,520,12686116.4,12916740.5,3987045,32056165,5148501.4,7195.5,6951.5,5905,76874,3132.6,12664807.4,12895410.5,3970914,32027882,5143458.1,14113.5,14496.0,5120,21152,5363.0,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
31435,31435,0,617,616,12552098.5,12674650.0,42940,36262173,5334253.5,4866.3,4732.0,3700,42580,1678.9,12566229.6,12683574.0,413984,36255577,5314630.7,1370.9,1376.0,1152,1632,66.5,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
31435,31435,0,97,96,11998299.2,11581255.0,435136,36284761,6172087.2,41621.5,4611.0,4133,3569629,361947.9,12075391.6,11580652.0,424860,36269862,6143082.4,5777.4,5568.0,5440,8224,434.7,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
31435,31435,0,97,96,11708881.1,11218191.0,6093,35911138,6102790.9,132261.4,4420.0,4013,12374031,1255911.8,11696222.8,11205608.0,793,35903597,6134415.9,987.4,960.0,928,1792,137.2,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
31435,31435,0,74,74,10373523.1,9959755.0,469529,24655503,4866532.4,4282.2,3993.5,3716,11886,1167.3,9900903.4,9484712.0,717,24179806,4865037.7,468337.6,468102.5,463799,474295,3123.5,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
31435,31435,0,196,196,10253214.8,8920177.0,2391962,25028409,6702923.6,3251.1,3122.0,2732,6663,501.4,10233085.4,8900381.0,2371969,25006773,6703035.7,16878.4,16704.0,16480,21824,616.5,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn
31435,31435,0,1960,1960,10152925.2,9847226.5,205993,24936075,3893721.7,3367.6,3181.0,2673,18705,682.8,10021898.5,9728679.0,46042,24775530,3889057.1,127659.1,105646.0,102494,210620,28820.4,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
31435,31435,0,3864,3863,9967673.5,9063019.5,32463,35944456,5114635.3,3412.9,3236.0,2612,66488,1187.4,9887008.3,8993121.0,347,35697704,5094010.5,79811.2,65902.5,27743,463863,58382.3,cudaLaunchKernel,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
31435,31435,0,74,74,9928038.0,9512381.0,8152,24205867,4866178.7,5870.8,4702.0,4337,69302,7558.5,9919154.6,9503573.0,439,24197827,4865305.0,3012.6,3008.0,2912,3296,45.8,cudaLaunchKernel,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
31435,31435,0,1512,1512,9790322.0,9306943.5,237886,24277917,4074310.8,3459.0,3242.5,2706,15576,681.9,9722322.8,9236936.5,158115,24199446,4072932.8,64540.2,75327.0,22048,83518,15309.0,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
31435,31435,0,1008,1008,9491422.7,8600998.0,390469,26118754,4983432.2,3458.1,3267.5,2789,8409,572.6,9426461.3,8545573.0,334973,25967130,4970214.7,61503.3,52014.5,51519,149085,27345.9,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn
31435,31435,0,2716,2716,9319192.5,8686627.5,20724,35718127,4680332.3,3671.6,3486.0,2999,17347,660.4,9308642.3,8680462.5,15101,35636259,4676284.1,6878.6,3776.0,1632,94398,11901.7,cudaLaunchKernelExC_v11060,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &silu>(T1 *, const T1 *, int)"
31435,31435,0,5432,5432,9290707.7,8665878.0,7529,35947630,4673294.3,3859.9,3664.0,3179,30980,764.9,9283657.0,8659611.0,1856,35923138,4672589.1,3190.8,2816.0,1439,29119,2342.3,cudaLaunchKernelExC_v11060,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o102410241_tensorptrbf16gmemalign128o102410241_tensorptrbf16gmemalign_0
31435,31435,0,5432,5432,9231573.7,8652101.5,10803,34909550,4617711.5,3730.0,3551.0,2969,62670,1058.2,9225191.4,8645088.0,5945,34889128,4617278.7,2652.3,2400.0,1312,30464,1885.4,cudaLaunchKernelExC_v11060,kernel_cutlass_kernel_flashinfernormkernelsrmsnormQKRMSNormKernel_object_at__tensorptrbf16gmemalign16o128i64div8i64div81_tensorptrbf16gmemalign16o1281_tensorptrbf16gmemalign16o128i64div8i_0
31435,31435,0,2716,2716,9220153.5,8639220.0,6412,34914043,4620063.9,3625.0,3395.0,2935,19186,763.3,9211218.4,8628943.5,1024,34889244,4619117.3,5310.1,4832.0,1696,21151,2618.1,cudaLaunchKernel,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<(bool)0, (unsigned int)128, (unsigned int)8, (unsigned int)16, __nv_bfloat16, int>(T5 *, T5 *, T5 *, T5 *, float *, T6 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
31435,31435,0,2716,2715,9216730.7,8630789.0,15210,35065309,4638773.0,3758.0,3558.5,3106,15043,704.7,9157130.4,8572416.0,116,34861248,4623539.1,59214.3,59327.0,10336,208540,37614.8,cudaLaunchKernel,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)128, (unsigned int)2, (unsigned int)2, (unsigned int)8, (unsigned int)8, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, PagedParams>(T2)"
31435,31435,0,2716,2714,9197035.7,8614648.5,5571,34904285,4623849.3,3691.9,3449.5,2982,19334,815.3,9197319.0,8608338.0,999,34884640,4618295.7,2798.1,2464.0,1216,16735,1727.6,cudaLaunchKernelExC_v11060,"void <unnamed>::store_kv_cache<(unsigned long)128, (unsigned long)1, (bool)0, (unsigned long)2048, int>(<unnamed>::StoreKernelParams)"
31435,31435,0,2716,2715,9174093.4,8593277.5,5432,34883246,4625236.6,3749.7,3519.5,3077,41280,1024.5,9171616.9,8588104.0,164,34869692,4622456.1,2103.9,1888.0,864,10112,1070.5,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
31435,31435,0,700,700,8367699.4,8519273.0,323717,24985977,4646506.7,3429.9,3260.0,2821,9572,588.2,8361333.5,8513332.5,315396,24977938,4646419.8,2936.0,2720.0,1440,5088,755.6,cudaLaunchKernel,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
