Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
79.4,3432046163,3886,883182.2,2063.0,878,11258128,2325677.3,cudaEventSynchronize
6.9,299291036,18976,15772.1,4508.0,2416,11218260,318779.3,cudaMemcpyAsync
5.9,253490401,610,415558.0,3017.5,977,10842863,1617962.6,cudaStreamSynchronize
4.8,207822093,54678,3800.8,3363.0,2668,7142704,30632.4,cudaLaunchKernel
1.7,73918536,481,153676.8,97501.0,51277,1006608,121924.0,cudaGraphLaunch_v10000
0.4,15443319,5502,2806.9,2427.0,581,485011,7526.0,cudaEventRecordWithFlags_v11010
0.2,10544930,2649,3980.7,3097.0,2197,96627,3182.7,cudaMemsetAsync
0.2,9077021,2599,3492.5,3166.0,2667,137141,3334.4,cuLaunchKernel
0.1,4732738,4357,1086.2,711.0,236,994382,15089.4,cudaEventCreateWithFlags
0.1,3681553,1563,2355.4,2184.0,1672,26027,1225.3,cudaEventRecord
0.1,3263684,4785,682.1,498.0,311,12401,574.3,cudaEventQuery
0.1,3020946,4321,699.1,471.0,313,455265,6992.0,cudaEventDestroy
0.1,2512953,7142,351.9,301.0,232,35348,526.3,cudaStreamIsCapturing_v10000
0.0,1543726,8,192965.8,232253.0,3637,328518,126511.9,cudaMalloc
0.0,1542095,1154,1336.3,1195.0,699,15950,777.4,cudaStreamWaitEvent
0.0,954591,2599,367.3,310.0,246,28773,609.6,cuKernelGetFunction
0.0,669022,64,10453.5,6182.0,2629,70709,9994.5,cudaHostAlloc
0.0,601225,3804,158.1,139.0,123,46268,756.1,cudaGetDevice
0.0,90296,1198,75.4,74.0,62,552,16.4,cuDevicePrimaryCtxGetState
0.0,77511,28,2768.3,490.0,437,64045,12009.4,cudaFuncSetAttribute
0.0,33186,520,63.8,56.0,45,526,29.1,cudaGetLastError
0.0,23096,140,165.0,158.5,132,607,50.6,cudaDeviceGetAttribute
0.0,20508,28,732.4,463.0,426,6814,1206.4,cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,12998,30,433.3,335.5,290,2411,404.0,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,10403,56,185.8,181.5,141,742,80.6,cuOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,9304,169,55.1,51.0,44,180,16.6,cuCtxGetCurrent
0.0,6022,56,107.5,97.0,80,487,56.6,cuFuncGetAttribute
0.0,1865,1,1865.0,1865.0,1865,1865,0.0,cudaFree
0.0,1065,1,1065.0,1065.0,1065,1065,0.0,cuCtxGetLimit
