PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
30743,30863,0,577,576,10457189.0,9361116.0,155543,22810161,6314301.1,18432.0,5751.0,3705,7142704,297124.3,10436775.4,9337653.5,122057,22766051,6307420.5,20076.9,18016.0,5408,38847,12462.4,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
30743,30863,0,577,576,10429507.7,9347006.0,57357,22795101,6325753.8,5195.2,4472.0,3555,94431,6058.0,10441079.2,9354852.0,33246,22789134,6316330.8,1330.8,1344.0,1120,1504,61.7,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
30743,30863,0,1154,1147,7245714.8,6388652.0,5967,22773065,6157993.8,5274.9,4242.5,3267,263227,8651.1,7283368.0,6388426.0,63,22767980,6151112.5,1258.6,1184.0,992,1664,149.2,cudaLaunchKernel,"sglang::<unnamed>::write_token_pool_kernel(int *, long, long, long, const long *, const long *, const int *, long)"
30743,30863,0,481,480,4839138.2,4294390.0,6685,11469852,3859074.5,4255.0,4000.0,3316,32582,1849.5,4842635.8,4370461.0,438,11463468,3856805.3,2316.1,2336.0,1983,2720,131.9,cudaLaunchKernel,"sglang::flashinfer_backend_detail::build_decode_indices_kernel(const int *, long, long, long, const int *, const int *, int *, int)"
30743,30863,0,1154,1143,4052985.2,3289422.5,5355,11502611,3966988.2,4023.5,3730.5,3003,42726,2151.5,4086645.8,3290165.0,385,11497233,3965988.0,1280.6,1216.0,960,1696,169.1,cudaLaunchKernel,"sglang::<unnamed>::gather_int32_2d_kernel(const int *, long, long, long, const long *, const long *, int *, long)"
30743,30863,0,23,22,3032276.3,2999260.0,550925,4423149,815255.8,6275.2,4264.0,3798,41646,7942.0,2624812.3,2478043.5,1617996,3905779,625897.8,515729.4,517174.0,511317,520213,2774.5,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
30743,30863,0,2100,2095,2080152.7,2480750.0,108940,4135256,905400.1,3492.3,3155.0,2722,137141,3555.2,1951054.8,2331118.0,424,3974107,891799.1,130260.6,106078.0,102206,230268,31506.9,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
30743,30863,0,73,73,1987191.8,2115967.0,469424,3083178,846479.5,4346.7,4208.0,3719,6065,444.4,1515266.1,1645707.0,784,2606952,843838.2,467579.1,466423.0,463799,474455,3460.7,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
30743,30863,0,96,95,1801294.1,1859043.0,5518,3955515,946672.1,5356.8,3956.0,3617,65935,8577.8,1813968.4,1854902.0,804,3950394,932596.6,873.0,832.0,831,1728,105.8,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
30743,30863,0,96,95,1776557.6,1829477.5,6944,3933049,940608.1,5309.2,4542.0,4133,43371,4236.4,1788109.2,1829289.0,734,3926132,928405.5,1785.0,1728.0,1632,2368,183.5,cudaLaunchKernel,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
