Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
88.4,2998668977,1222,2453902.6,3588.0,1863,21685609,3355777.8,cudaEventSynchronize
4.8,161829881,23791,6802.1,3732.0,2780,39307869,266837.1,cudaLaunchKernel
2.0,67484534,16660,4050.7,3824.5,3083,63827,1350.5,cudaLaunchKernelExC_v11060
1.7,56472962,10151,5563.3,4768.0,2773,533235,6025.5,cudaMemcpyAsync
1.1,38702636,513,75443.7,60622.0,52722,603338,56148.5,cudaGraphLaunch_v10000
0.7,23074416,7775,2967.8,2722.0,1672,98455,1669.1,cudaEventRecordWithFlags_v11010
0.3,11628310,2459,4728.9,3684.0,2519,49284,2432.4,cudaMemsetAsync
0.3,9833425,2681,3667.8,3381.0,2869,44012,1453.6,cuLaunchKernel
0.3,8813787,12179,723.7,554.0,312,16368,572.3,cudaEventQuery
0.2,5578500,13755,405.6,389.0,228,12382,219.6,cuKernelGetFunction
0.1,3182132,8905,357.3,301.0,226,30776,394.2,cudaStreamIsCapturing_v10000
0.1,2400656,1241,1934.5,1895.0,402,12870,537.6,cudaEventCreateWithFlags
0.0,1482834,1222,1213.4,1157.5,779,8710,383.6,cudaEventDestroy
0.0,1345442,611,2202.0,2160.0,1699,9794,400.6,cudaStreamWaitEvent
0.0,1258329,6,209721.5,210445.5,142057,286975,54340.7,cudaMalloc
0.0,1216429,91,13367.4,11969.0,3835,58387,10294.0,cudaHostAlloc
0.0,979942,11074,88.5,84.0,49,467,28.9,cuFuncGetName
0.0,26720,1,26720.0,26720.0,26720,26720,0.0,cudaPointerGetAttributes
0.0,19012,44,432.1,146.5,132,7496,1132.7,cudaGetDevice
0.0,6288,20,314.4,76.5,62,3905,857.5,cuDevicePrimaryCtxGetState
