PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
37581,37581,0,21,21,16171857.3,15254171.0,2381580,39309437,7590393.9,1877307.9,5585.0,4897,39307869,8576419.0,14293415.7,15167283.0,288,24956377,6343176.3,1133.7,1120.0,1088,1280,48.1,cudaLaunchKernel,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
37581,37581,0,21,21,14787853.3,15663718.0,539672,25448715,6340603.1,5191.4,4722.0,4040,10762,1459.9,14265677.1,15144136.0,600,24933003,6341342.6,516984.8,516215.0,503223,532183,6719.2,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
37581,37581,0,513,513,12731986.2,12975522.0,3994371,31999472,5144873.7,7672.6,7295.0,6244,73050,3281.3,12710065.7,12953959.0,3981481,31970896,5139868.8,14247.9,14528.0,5120,21312,5398.7,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
37581,37581,0,611,610,12334263.4,12601317.0,39872,31977938,5260807.0,5157.9,5011.0,3880,39537,1568.2,12347948.8,12595158.5,412342,31971542,5241339.9,1367.4,1376.0,1088,2208,75.8,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
37581,37581,0,98,97,10509121.7,9987695.0,6069,39299048,6006033.5,106680.4,4582.0,4199,9988958,1008552.5,10508694.3,9981246.0,647,39292082,6036935.9,989.1,960.0,928,1888,121.0,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
37581,37581,0,98,98,10416724.1,10265434.5,434091,25416129,5396389.4,37834.2,5087.5,4644,3197254,322440.2,10373122.6,10254745.5,19,25404766,5449722.7,5767.4,5568.0,5440,8127,430.2,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
37581,37581,0,2044,2044,9555216.5,9322957.5,119670,24692823,4360536.6,3661.7,3368.0,2869,44012,1614.8,9422564.8,9190017.5,345,24535764,4354071.0,128990.0,105598.0,102078,210141,30171.9,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
37581,37581,0,77,77,9235088.2,9204903.0,469867,17942807,4527390.2,4643.9,4445.0,4000,9407,710.0,8762203.8,8732418.0,367,17466518,4526031.2,468240.6,468184.0,463768,474936,2702.9,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
37581,37581,0,1680,1680,9115622.1,8967687.0,91499,24744628,3906395.1,3614.9,3403.5,2901,28939,935.8,9045993.3,8892307.0,448,24665819,3902819.5,66013.9,75295.0,22111,85406,14406.9,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
37581,37581,0,3892,3891,9084979.9,8510210.0,32482,39324572,4843937.2,3673.8,3416.0,2780,52145,1661.8,9005380.8,8435984.0,569,39077612,4816791.1,78239.1,66079.0,27680,491192,55197.8,cudaLaunchKernel,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
