[1m[2026-04-25|12:53:10][0m [32mINFO    [0m Parsed arguments:
ServerArgs(model_path='/root/.cache/huggingface/hub/models--Qwen--Qwen3-0.6B/snapshots/c1899de289a04d12100db370d81485cdf75e47ca', tp_info=DistributedInfo(rank=0, size=1), dtype=torch.bfloat16, max_running_req=256, attention_backend='auto', moe_backend='auto', cuda_graph_bs=None, cuda_graph_max_bs=None, page_size=1, memory_ratio=0.2, distributed_timeout=60.0, use_dummy_weight=False, use_pynccl=True, max_seq_len_override=4096, num_page_override=None, max_extend_tokens=16384, cache_type='radix', offline_mode=False, _unique_suffix='.pid=37505', server_host='127.0.0.1', server_port=1920, num_tokenizer=0, silent_output=False)
[1m[2026-04-25|12:53:13|initializer][0m [32mINFO    [0m Tokenize server 0 is ready
[1m[2026-04-25|12:53:13|core|rank=0][0m [32mINFO    [0m Auto-selected attention backend: fi
[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
[1m[2026-04-25|12:53:14|core|rank=0][0m [32mINFO    [0m Free memory before loading model: 31.19 GiB
Loading weights:   0%|          | 0/1 [00:00<?, ?it/s]Loading weights: 100%|██████████| 1/1 [00:00<00:00,  2.12it/s]Loading weights: 100%|██████████| 1/1 [00:00<00:00,  2.12it/s]
[1m[2026-04-25|12:53:15|core|rank=0][0m [32mINFO    [0m Allocating 46911 tokens for KV cache, K + V = 5.01 GiB
[1m[2026-04-25|12:53:15|core|rank=0][0m [32mINFO    [0m Free memory after initialization: 24.82 GiB
[1m[2026-04-25|12:53:15|core|rank=0][0m [32mINFO    [0m Start capturing CUDA graphs with sizes: [1, 2, 4, 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160]
[1m[2026-04-25|12:53:15|core|rank=0][0m [32mINFO    [0m Free GPU memory before capturing CUDA graphs: 24.82 GiB
Preparing for capturing CUDA graphs...:   0%|          | 0/23 [00:00<?, ?batch/s]Capturing graphs: bs = 160 | avail_mem = 24.73 GiB:   0%|          | 0/23 [00:00<?, ?batch/s]Capturing graphs: bs = 160 | avail_mem = 24.73 GiB:   4%|▍         | 1/23 [00:01<00:29,  1.34s/batch]Capturing graphs: bs = 152 | avail_mem = 24.62 GiB:   4%|▍         | 1/23 [00:01<00:29,  1.34s/batch]Capturing graphs: bs = 144 | avail_mem = 24.62 GiB:   4%|▍         | 1/23 [00:01<00:29,  1.34s/batch]Capturing graphs: bs = 144 | avail_mem = 24.62 GiB:  13%|█▎        | 3/23 [00:01<00:08,  2.46batch/s]Capturing graphs: bs = 136 | avail_mem = 24.61 GiB:  13%|█▎        | 3/23 [00:01<00:08,  2.46batch/s]Capturing graphs: bs = 128 | avail_mem = 24.61 GiB:  13%|█▎        | 3/23 [00:01<00:08,  2.46batch/s]Capturing graphs: bs = 128 | avail_mem = 24.61 GiB:  22%|██▏       | 5/23 [00:01<00:04,  4.20batch/s]Capturing graphs: bs = 120 | avail_mem = 24.61 GiB:  22%|██▏       | 5/23 [00:01<00:04,  4.20batch/s]Capturing graphs: bs = 112 | avail_mem = 24.60 GiB:  22%|██▏       | 5/23 [00:01<00:04,  4.20batch/s]Capturing graphs: bs = 112 | avail_mem = 24.60 GiB:  30%|███       | 7/23 [00:01<00:02,  5.73batch/s]Capturing graphs: bs = 104 | avail_mem = 24.60 GiB:  30%|███       | 7/23 [00:01<00:02,  5.73batch/s]Capturing graphs: bs = 96  | avail_mem = 24.59 GiB:  30%|███       | 7/23 [00:01<00:02,  5.73batch/s]Capturing graphs: bs = 96  | avail_mem = 24.59 GiB:  39%|███▉      | 9/23 [00:01<00:01,  7.19batch/s]Capturing graphs: bs = 88  | avail_mem = 24.59 GiB:  39%|███▉      | 9/23 [00:01<00:01,  7.19batch/s]Capturing graphs: bs = 80  | avail_mem = 24.59 GiB:  39%|███▉      | 9/23 [00:02<00:01,  7.19batch/s]Capturing graphs: bs = 80  | avail_mem = 24.59 GiB:  48%|████▊     | 11/23 [00:02<00:01,  8.51batch/s]Capturing graphs: bs = 72  | avail_mem = 24.58 GiB:  48%|████▊     | 11/23 [00:02<00:01,  8.51batch/s]Capturing graphs: bs = 64  | avail_mem = 24.58 GiB:  48%|████▊     | 11/23 [00:02<00:01,  8.51batch/s]Capturing graphs: bs = 64  | avail_mem = 24.58 GiB:  57%|█████▋    | 13/23 [00:02<00:01,  9.24batch/s]Capturing graphs: bs = 56  | avail_mem = 24.58 GiB:  57%|█████▋    | 13/23 [00:02<00:01,  9.24batch/s]Capturing graphs: bs = 48  | avail_mem = 24.57 GiB:  57%|█████▋    | 13/23 [00:02<00:01,  9.24batch/s]Capturing graphs: bs = 48  | avail_mem = 24.57 GiB:  65%|██████▌   | 15/23 [00:02<00:00, 10.13batch/s]Capturing graphs: bs = 40  | avail_mem = 24.57 GiB:  65%|██████▌   | 15/23 [00:02<00:00, 10.13batch/s]Capturing graphs: bs = 32  | avail_mem = 24.56 GiB:  65%|██████▌   | 15/23 [00:02<00:00, 10.13batch/s]Capturing graphs: bs = 32  | avail_mem = 24.56 GiB:  74%|███████▍  | 17/23 [00:02<00:00, 10.78batch/s]Capturing graphs: bs = 24  | avail_mem = 24.56 GiB:  74%|███████▍  | 17/23 [00:02<00:00, 10.78batch/s]Capturing graphs: bs = 16  | avail_mem = 24.55 GiB:  74%|███████▍  | 17/23 [00:02<00:00, 10.78batch/s]Capturing graphs: bs = 16  | avail_mem = 24.55 GiB:  83%|████████▎ | 19/23 [00:02<00:00, 11.37batch/s]Capturing graphs: bs = 8   | avail_mem = 24.55 GiB:  83%|████████▎ | 19/23 [00:02<00:00, 11.37batch/s]Capturing graphs: bs = 4   | avail_mem = 24.55 GiB:  83%|████████▎ | 19/23 [00:02<00:00, 11.37batch/s]Capturing graphs: bs = 4   | avail_mem = 24.55 GiB:  91%|█████████▏| 21/23 [00:02<00:00, 11.35batch/s]Capturing graphs: bs = 2   | avail_mem = 24.54 GiB:  91%|█████████▏| 21/23 [00:02<00:00, 11.35batch/s]Capturing graphs: bs = 1   | avail_mem = 24.54 GiB:  91%|█████████▏| 21/23 [00:03<00:00, 11.35batch/s]Capturing graphs: bs = 1   | avail_mem = 24.54 GiB: 100%|██████████| 23/23 [00:03<00:00, 11.11batch/s]Capturing graphs: bs = 1   | avail_mem = 24.54 GiB: 100%|██████████| 23/23 [00:03<00:00,  7.26batch/s]
[1m[2026-04-25|12:53:18|core|rank=0][0m [32mINFO    [0m Free GPU memory after capturing CUDA graphs: 24.53 GiB
[1m[2026-04-25|12:53:19|core|rank=0][0m [32mINFO    [0m Scheduler is idle, waiting for new reqs...
[1m[2026-04-25|12:53:19|initializer][0m [32mINFO    [0m Scheduler is ready
[1m[2026-04-25|12:53:19|FrontendAPI][0m [32mINFO    [0m API server is ready to serve on 127.0.0.1:1920
INFO:     Started server process [37505]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:1920 (Press CTRL+C to quit)
INFO:     127.0.0.1:48952 - "GET /v1/models HTTP/1.1" 200 OK
INFO:     127.0.0.1:48956 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:48968 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:48974 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:48976 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:48984 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:48992 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49006 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49008 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49016 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49026 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49036 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49046 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49052 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49060 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49064 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49076 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49090 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49094 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49110 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49120 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49130 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49136 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49148 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49160 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49164 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49176 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49190 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49204 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49216 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49218 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:48992 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49220 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49232 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49240 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49248 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49252 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49260 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49274 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49276 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49064 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49292 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49294 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49300 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49314 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49060 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:48956 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49328 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49340 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49352 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49354 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49358 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49362 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49374 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49388 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49400 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49416 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49428 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49440 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49450 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49452 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49464 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49480 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49248 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:48992 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49484 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49490 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49506 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49510 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49526 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49542 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49550 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49558 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49572 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49580 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49582 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49590 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49594 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49602 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49608 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49616 - "POST /generate HTTP/1.1" 200 OK
INFO:     127.0.0.1:49624 - "POST /generate HTTP/1.1" 200 OK
