Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
84.6,3668054266,3650,1004946.4,118183.5,843,11091217,2423629.8,cudaEventSynchronize
4.5,197109077,585,336938.6,2728.0,759,8778761,1362966.2,cudaStreamSynchronize
4.3,187000302,13202,14164.5,3905.0,2315,11283029,300660.7,cudaMemcpyAsync
4.0,174473760,45366,3845.9,3116.0,2462,17636448,88325.0,cudaLaunchKernel
1.4,60972233,478,127557.0,69864.0,34327,1499580,154812.6,cudaGraphLaunch_v10000
0.3,12311243,5237,2350.8,2110.0,599,379529,5702.6,cudaEventRecordWithFlags_v11010
0.2,8146333,2358,3454.8,2856.5,2024,67845,1925.0,cudaMemsetAsync
0.2,7414382,2461,3012.8,2847.0,2491,42340,1675.6,cuLaunchKernel
0.1,3206808,4108,780.6,689.0,247,26464,627.5,cudaEventCreateWithFlags
0.1,3116259,1512,2061.0,1902.0,1498,32878,1455.3,cudaEventRecord
0.1,2685764,4732,567.6,457.0,309,15303,417.6,cudaEventQuery
0.1,2397263,4072,588.7,493.5,313,229458,3611.0,cudaEventDestroy
0.1,2374034,6854,346.4,330.0,240,14171,387.7,cudaStreamIsCapturing_v10000
0.0,1846544,10,184654.4,191731.0,4260,314780,104963.3,cudaMalloc
0.0,1307659,1132,1155.2,1035.0,619,24598,938.5,cudaStreamWaitEvent
0.0,909841,2461,369.7,324.0,239,17791,514.4,cuKernelGetFunction
0.0,797792,66,12087.8,6319.5,2718,231934,28036.2,cudaHostAlloc
0.0,620974,3036,204.5,141.0,125,49160,943.7,cudaGetDevice
0.0,85552,907,94.3,74.0,64,836,48.4,cuDevicePrimaryCtxGetState
0.0,74170,28,2648.9,509.0,436,56432,10543.3,cudaFuncSetAttribute
0.0,36074,403,89.5,62.0,47,1762,97.0,cudaGetLastError
0.0,29535,140,211.0,155.0,133,1362,129.8,cudaDeviceGetAttribute
0.0,28317,30,943.9,360.0,308,10384,1967.2,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,18215,28,650.5,470.0,421,1931,346.3,cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,12053,168,71.7,54.0,45,287,34.6,cuCtxGetCurrent
0.0,11576,56,206.7,153.0,132,603,101.4,cuOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,8237,56,147.1,111.0,83,533,83.2,cuFuncGetAttribute
0.0,1684,1,1684.0,1684.0,1684,1684,0.0,cudaFree
0.0,898,1,898.0,898.0,898,898,0.0,cuCtxGetLimit
