PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
36887,37007,0,566,566,10737354.0,9675032.5,451164,22315611,6268580.3,16626.3,5070.5,3559,6506120,273260.1,10700382.4,9645447.0,146,22273460,6271873.9,20345.2,19376.0,5024,38720,12066.9,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
36887,37007,0,566,565,10713760.1,9662991.0,66616,22303157,6281200.5,4065.6,3822.0,3166,65766,3402.0,10727272.8,9717427.0,438023,22297781,6270759.8,1375.1,1376.0,1152,1568,59.2,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
36887,37007,0,1132,1130,7495031.3,6584105.0,5678,22285682,6161600.4,4311.3,3834.0,2951,234734,7291.7,7502712.2,6655992.0,132,22281236,6159581.7,1266.0,1184.0,960,1696,165.6,cudaLaunchKernel,"sglang::<unnamed>::write_token_pool_kernel(int *, long, long, long, const long *, const long *, const int *, long)"
36887,37007,0,478,477,5031383.0,4691048.0,6617,11097383,3845741.5,3858.4,3744.0,3137,41889,1779.9,5035753.6,4688012.0,560,11091120,3842950.7,2307.6,2304.0,1952,2688,126.9,cudaLaunchKernel,"sglang::flashinfer_backend_detail::build_decode_indices_kernel(const int *, long, long, long, const int *, const int *, int *, int)"
36887,37007,0,1132,1130,4266079.6,3441250.0,5121,11128197,3984728.9,3542.5,3384.5,2881,31961,1362.9,4268798.6,3617116.0,722,11123052,3984246.3,1282.6,1184.0,960,1728,172.1,cudaLaunchKernel,"sglang::<unnamed>::gather_int32_2d_kernel(const int *, long, long, long, const long *, const long *, int *, long)"
36887,37007,0,25,25,3521286.6,3508215.0,1683865,5476697,1084085.0,4423.0,3586.0,3323,21729,3621.9,2999537.4,2984652.0,1160456,4946215,1080052.9,517326.2,517079.0,503223,527063,6203.5,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
36887,37007,0,1960,1958,2316966.2,2478024.5,107936,5247036,1074165.1,3011.8,2834.5,2491,42340,1821.1,2175164.0,2324139.0,478,5037373,1046218.9,141012.7,113838.0,102430,313499,48492.8,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
36887,37007,0,88,87,2163255.1,1831889.0,5602,17636448,2016374.7,204438.3,3974.0,3700,17636448,1879617.9,1980419.8,1819549.0,772,4982813,1138664.1,912.7,832.0,799,1856,231.8,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
36887,37007,0,1428,1428,1974859.5,2148060.0,32767,5041729,1060052.7,3139.9,3008.0,2554,38940,1446.7,1900401.7,2069525.5,946,4886108,1044375.6,71317.9,75359.0,28223,152478,22037.9,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
36887,37007,0,63,62,1961396.8,2095198.0,469087,3223208,846991.4,4895.3,4070.0,3788,52883,6170.9,1511864.8,1622241.5,672,2746988,830356.8,468654.4,468120.0,463896,480312,3759.2,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
