Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.2,3091119590,1222,2529557.8,3623.5,1757,21425992,3405277.9,cudaEventSynchronize
4.5,156922347,23789,6596.4,3625.0,2684,39697198,269533.7,cudaLaunchKernel
1.8,62665328,16490,3800.2,3681.0,3015,23935,634.4,cudaLaunchKernelExC_v11060
1.5,52377884,10154,5158.3,4560.5,2628,90366,2484.8,cudaMemcpyAsync
1.0,35104522,514,68296.7,59821.0,51829,294586,31337.9,cudaGraphLaunch_v10000
0.6,20877191,7773,2685.9,2461.0,1656,99069,1447.0,cudaEventRecordWithFlags_v11010
0.3,11190073,2543,4400.3,3445.0,2469,18712,1972.4,cudaMemsetAsync
0.2,8510415,12214,696.8,539.0,312,10346,520.4,cudaEventQuery
0.2,8146356,2402,3391.5,3238.0,2769,11166,502.7,cuLaunchKernel
0.2,5373018,13363,402.1,393.0,235,9915,181.4,cuKernelGetFunction
0.1,3310303,8904,371.8,352.0,249,2201,99.7,cudaStreamIsCapturing_v10000
0.1,2200963,1240,1775.0,1758.0,555,10467,363.4,cudaEventCreateWithFlags
0.0,1465860,1222,1199.6,1146.0,725,8273,358.6,cudaEventDestroy
0.0,1382829,611,2263.2,2262.0,1760,9106,338.1,cudaStreamWaitEvent
0.0,1228408,6,204734.7,183787.0,162403,325444,60815.1,cudaMalloc
0.0,1081263,91,11882.0,8704.0,3844,52277,7929.1,cudaHostAlloc
0.0,982622,10961,89.6,87.0,50,491,26.3,cuFuncGetName
