PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
44160,44160,0,22,22,16965066.0,15565643.0,7587105,39698755,6821581.1,1808877.5,4585.5,4326,39697198,8462475.0,15155046.7,15414155.0,277,24975043,5675315.1,1141.8,1120.0,1088,1280,44.6,cudaLaunchKernel,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
44160,44160,0,22,22,15651628.9,15910507.0,539701,25469179,5671637.6,4509.5,4150.5,3785,9486,1200.5,15130832.5,15390878.0,497,24953478,5672674.5,516286.9,516727.0,505688,533368,6119.7,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
44160,44160,0,514,514,12837078.4,12958198.5,4265015,31694588,5193497.0,7757.3,7542.5,6128,64589,2651.9,12815071.6,12936148.0,4252673,31665362,5188376.1,14249.5,14511.5,5088,21312,5377.5,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
44160,44160,0,611,610,12579569.9,12581679.0,36589,31669760,5210019.3,4737.7,4668.0,3547,36447,1392.4,12594078.4,12587270.5,432318,31662896,5189338.3,1367.7,1376.0,1120,1632,70.4,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
44160,44160,0,97,96,11475468.9,10922343.0,1136602,39698150,5672105.0,109503.8,4415.0,3920,10194076,1034599.2,11483386.0,11046309.5,1130554,39691340,5700255.9,975.5,960.0,927,1760,99.7,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
44160,44160,0,97,96,11380621.8,11025574.0,463731,25439506,5082038.7,39321.6,4617.0,4256,3360010,340677.2,11453583.0,11156231.5,449104,25428382,5041313.2,5807.4,5600.0,5471,8063,434.4,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
44160,44160,0,75,75,10132313.3,10074101.0,481028,18040128,4255420.8,4292.7,4158.0,3813,11645,901.3,9659571.6,9600183.0,142,17562623,4253846.8,468449.0,468408.0,463673,473689,2881.9,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
44160,44160,0,4088,4087,9770748.5,9092214.0,66290,39722563,4560775.4,3533.6,3382.0,2782,13585,587.5,9688637.9,9009230.0,333,39475447,4533010.4,80947.1,69471.0,27743,489752,55907.1,cudaLaunchKernel,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
44160,44160,0,75,75,9685650.6,9625049.0,51441,17588188,4253171.4,5164.5,4418.0,3985,47860,5018.7,9677478.1,9617521.0,445,17580978,4254504.1,3008.0,3007.0,2912,3296,67.4,cudaLaunchKernel,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
44160,44160,0,1904,1904,9673505.7,9337866.5,121892,24823235,4217671.2,3366.8,3224.5,2836,11166,476.9,9543389.5,9201465.5,195,24665691,4214282.6,126749.4,105726.0,102270,208221,27809.3,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
