Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
82.0,3533675190,3866,914039.1,122638.5,740,11055152,2298164.4,cudaEventSynchronize
6.0,260760008,610,427475.4,2932.5,723,10626919,1601622.8,cudaStreamSynchronize
5.4,234385043,13592,17244.3,4249.0,2399,10894101,354272.9,cudaMemcpyAsync
4.2,180083362,43418,4147.7,3387.0,2666,18015082,93433.4,cudaLaunchKernel
1.2,50504202,483,104563.6,67704.0,28481,516344,82129.0,cudaGraphLaunch_v10000
0.3,14559176,5480,2656.8,2430.0,953,396584,6093.9,cudaEventRecordWithFlags_v11010
0.2,9032393,2510,3598.6,3032.5,2213,15792,1298.7,cudaMemsetAsync
0.2,8841963,2683,3295.6,3176.0,2717,15663,667.2,cuLaunchKernel
0.1,3453497,1561,2212.4,2123.0,1673,36183,1071.0,cudaEventRecord
0.1,2752013,4297,640.4,426.0,303,692514,10563.1,cudaEventDestroy
0.1,2728863,4773,571.7,455.0,307,22541,435.9,cudaEventQuery
0.1,2718310,4333,627.4,533.0,363,6888,356.1,cudaEventCreateWithFlags
0.1,2297722,7125,322.5,303.0,232,17045,286.0,cudaStreamIsCapturing_v10000
0.0,1552092,9,172454.7,192288.0,5744,293055,105205.3,cudaMalloc
0.0,1300021,1156,1124.6,1037.0,579,9012,557.8,cudaStreamWaitEvent
0.0,972451,2683,362.4,308.0,239,16171,476.6,cuKernelGetFunction
0.0,777785,2672,291.1,245.0,217,86542,1684.3,cudaGetDevice
0.0,599385,64,9365.4,7555.5,2438,26610,5857.1,cudaHostAlloc
0.0,116723,767,152.2,130.0,108,15284,547.7,cuDevicePrimaryCtxGetState
0.0,102461,28,3659.3,777.0,732,80573,15074.0,cudaFuncSetAttribute
0.0,40631,140,290.2,277.0,249,1133,84.5,cudaDeviceGetAttribute
0.0,35184,319,110.3,97.0,80,1116,66.5,cudaGetLastError
0.0,26937,30,897.9,680.0,602,5001,855.8,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,25035,28,894.1,839.0,750,2043,245.7,cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,16145,56,288.3,260.0,246,1034,116.7,cuOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,14850,168,88.4,86.0,72,323,22.4,cuCtxGetCurrent
0.0,10537,56,188.2,173.0,129,718,86.4,cuFuncGetAttribute
0.0,2429,1,2429.0,2429.0,2429,2429,0.0,cudaFree
0.0,983,1,983.0,983.0,983,983,0.0,cuCtxGetLimit
