Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
25.4,297999891,4060,73399.0,65838.5,27776,223068,38410.1,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
24.4,286533142,2184,131196.5,104062.0,102015,350074,38680.0,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
14.1,165718645,2660,62300.2,72319.0,10656,153661,34122.9,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<(flashinfer::MaskMode)1, (flashinfer::PosEncodingMode)0, (unsigned int)2, (unsigned int)8, (unsigned int)2, (unsigned int)4, (unsigned int)1, float, flashinfer::ComposedAttention<flashinfer::BatchPrefillPagedParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>, (unsigned int)2>>(flashinfer::uint_fastdiv, T9::ParamsT)"
9.6,112584091,1596,70541.4,75327.0,22047,169917,19363.8,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
3.6,41955389,756,55496.5,51935.0,51423,148382,18138.1,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn
2.9,34289184,5415,6332.3,5600.0,1760,25887,3256.3,"void flashinfer::norm::RMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, float, float)"
2.9,33700956,72,468068.8,467112.0,463992,480568,3403.5,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
2.5,28982601,7980,3631.9,3360.0,1631,13632,1570.4,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.4,28770127,924,31136.5,26879.0,16287,78495,11719.6,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn
2.2,25577388,2660,9615.6,9664.0,2144,31455,4543.3,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<(bool)0, (unsigned int)128, (unsigned int)8, (unsigned int)16, __nv_bfloat16, int>(T5 *, T5 *, T5 *, T5 *, float *, float *, T6 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
1.4,16871817,5320,3171.4,2848.0,1728,19744,1838.0,"void flashinfer::norm::FusedAddRMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, float, float)"
1.3,15603778,2660,5866.1,4879.5,2016,38175,5893.6,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &sglang::d_silu>(T1 *, const T1 *, int)"
1.3,15308653,840,18224.6,17872.0,6976,28288,6045.7,"void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)16, (unsigned int)8, (unsigned int)4, __nv_bfloat16, __nv_bfloat16, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)"
1.0,12212733,196,62309.9,77759.0,41151,79903,18169.1,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn
1.0,11881726,23,516596.8,517623.0,502967,529336,5526.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
1.0,11660975,578,20174.7,18208.0,5536,38623,12128.7,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
0.9,11153587,420,26556.2,27903.0,22175,30400,2537.0,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_tn_align8>(T1::Params)
0.7,8538435,2660,3209.9,3168.0,1760,8768,1092.0,"void sglang::<unnamed>::store_kv_cache_kernel<__nv_bfloat16, int>(T1 *, T1 *, const T1 *, const T1 *, const T2 *, long, long)"
0.3,4071773,280,14542.0,14240.0,10335,21119,3631.1,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn
0.2,2824241,168,16811.0,16704.0,16479,17759,257.9,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn
0.1,1731583,588,2944.9,2720.0,1439,4512,753.5,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.1,1474250,1156,1275.3,1184.0,992,1792,174.4,"sglang::<unnamed>::gather_int32_2d_kernel(const int *, long, long, long, const long *, const long *, int *, long)"
0.1,1462217,1156,1264.9,1184.0,960,1664,158.7,"sglang::<unnamed>::write_token_pool_kernel(int *, long, long, long, const long *, const long *, const int *, long)"
0.1,1114576,483,2307.6,2304.0,1984,2816,116.4,"sglang::flashinfer_backend_detail::build_decode_indices_kernel(const int *, long, long, long, const int *, const int *, int *, int)"
0.1,765268,578,1324.0,1344.0,1120,1472,63.7,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,401179,28,14327.8,14368.0,13567,14816,271.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Params)
0.0,392123,28,14004.4,13951.5,13567,15104,332.6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_32x6_tn_align8>(T1::Params)
0.0,308670,190,1624.6,1440.0,1248,2176,260.2,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
