PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
43468,43588,0,578,577,10285929.2,9337665.5,449743,22213841,6136834.5,17994.8,5155.0,3811,7379091,306713.5,10265524.9,9310592.0,439725,22171677,6130677.7,20174.7,18208.0,5536,38623,12128.7,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
43468,43588,0,578,577,10260716.0,9324219.0,74372,22201063,6149398.9,4322.6,4163.5,3539,73540,2909.3,10272843.1,9328137.0,435318,22195646,6140017.0,1324.0,1344.0,1120,1472,63.7,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
43468,43588,0,1156,1148,7118716.9,6215296.0,5975,22178214,6024666.5,4729.6,4105.0,3317,349104,10395.4,7162295.8,6221734.0,26,22173314,6016909.7,1264.9,1184.0,960,1664,158.7,cudaLaunchKernel,"sglang::<unnamed>::write_token_pool_kernel(int *, long, long, long, const long *, const long *, const int *, long)"
43468,43588,0,483,480,4725505.9,4336913.0,6701,11131000,3792466.2,3894.2,3751.0,3124,27744,1261.2,4748803.5,4341632.5,162,11124790,3785917.8,2307.6,2304.0,1984,2816,116.4,cudaLaunchKernel,"sglang::flashinfer_backend_detail::build_decode_indices_kernel(const int *, long, long, long, const int *, const int *, int *, int)"
43468,43588,0,1156,1147,3966113.8,3170189.0,5366,11164443,3892385.3,3820.9,3692.5,2956,34281,1208.6,3992103.8,3166713.0,83,11158461,3891716.2,1275.3,1184.0,992,1792,174.4,cudaLaunchKernel,"sglang::<unnamed>::gather_int32_2d_kernel(const int *, long, long, long, const long *, const long *, int *, long)"
43468,43588,0,23,23,3155166.6,2933033.0,1821409,5762926,830221.0,4160.0,4134.0,3562,4850,326.1,2634409.7,2411764.0,1311486,5228740,827005.9,516596.8,517623.0,502967,529336,5526.3,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
43468,43588,0,2184,2182,2128236.5,2411500.5,108636,5545405,900088.0,3281.3,3160.0,2717,15663,681.0,1995586.5,2258293.5,527,5313637,881943.7,131196.5,104062.0,102015,350074,38680.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
43468,43588,0,95,94,2021920.6,1918176.0,6102,18015082,1898976.4,193742.0,4084.0,3764,18015082,1847882.3,1846757.5,1856129.0,722,5280118,930101.0,872.8,832.0,832,1888,122.6,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
43468,43588,0,72,71,1988888.8,2078318.0,469340,3180113,805052.5,4552.3,4379.0,4032,9656,745.9,1537633.3,1608136.0,716,2704072,787683.4,468068.8,467112.0,463992,480568,3403.5,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
43468,43588,0,1596,1594,1943644.4,2130846.5,51070,5317275,908649.0,3457.7,3318.0,2892,15639,780.0,1871992.3,2052435.5,1019,5146946,893951.0,70541.4,75327.0,22047,169917,19363.8,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
