Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.8,3147502163,1216,2588406.4,3394.0,1617,21763682,3459308.9,cudaEventSynchronize
4.2,148795268,22970,6477.8,3386.0,2600,39811120,274906.1,cudaLaunchKernel
1.7,57883582,15980,3622.3,3488.0,2933,19802,589.0,cudaLaunchKernelExC_v11060
1.4,50705589,10107,5016.9,4429.0,2531,156779,2782.0,cudaMemcpyAsync
1.0,34906127,514,67910.8,57009.0,48555,518164,45491.4,cudaGraphLaunch_v10000
0.6,21320591,7731,2757.8,2573.0,1614,102125,1669.2,cudaEventRecordWithFlags_v11010
0.3,9897184,2372,4172.5,3305.0,2251,14935,1841.4,cudaMemsetAsync
0.2,8223089,12149,676.9,527.0,314,29459,563.5,cudaEventQuery
0.2,7992070,2488,3212.2,3067.0,2664,11725,537.1,cuLaunchKernel
0.1,5100182,13110,389.0,377.0,229,5910,134.9,cuKernelGetFunction
0.1,3222025,8859,363.7,323.0,231,2232,120.9,cudaStreamIsCapturing_v10000
0.1,1893941,1235,1533.6,1446.0,375,53463,1512.4,cudaEventCreateWithFlags
0.0,1278361,608,2102.6,2038.5,1543,48713,1901.0,cudaStreamWaitEvent
0.0,1261795,1216,1037.7,936.0,595,17003,551.7,cudaEventDestroy
0.0,1157443,6,192907.2,178657.5,133035,302952,59233.2,cudaMalloc
0.0,1123952,91,12351.1,11079.0,3501,111394,12222.9,cudaHostAlloc
0.0,890812,10622,83.9,81.0,50,547,24.7,cuFuncGetName
