Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
27.9,324127813,3920,82685.7,70494.0,27743,489619,55938.2,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
21.8,253103885,1932,131006.2,113565.0,102462,208858,30586.5,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
14.0,162836168,2604,62533.1,72750.0,10335,215867,36259.7,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)128, (unsigned int)2, (unsigned int)2, (unsigned int)8, (unsigned int)8, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, PagedParams>(T2)"
9.9,114962498,1736,66222.6,75358.0,27999,85566,13916.3,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
3.7,43486066,784,55466.9,52031.0,51614,149148,17918.1,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn
2.8,32793483,70,468478.3,468291.5,463828,473972,3031.5,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
2.6,30763621,1036,29694.6,26879.0,16256,57407,8402.5,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn
1.5,17351923,5264,3296.3,3104.0,1408,31167,2531.0,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o102410241_tensorptrbf16gmemalign128o102410241_tensorptrbf16gmemalign_0
1.5,17345505,896,19358.8,19983.5,6719,28223,5865.3,"void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)16, (unsigned int)8, (unsigned int)4, __nv_bfloat16, __nv_bfloat16, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)"
1.3,15606725,252,61931.4,77870.0,41215,78974,18276.9,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn
1.3,15113522,2632,5742.2,4287.5,1215,98333,9835.6,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &silu>(T1 *, const T1 *, int)"
1.3,14645363,5264,2782.2,2464.0,1184,31679,2467.8,kernel_cutlass_kernel_flashinfernormkernelsrmsnormQKRMSNormKernel_object_at__tensorptrbf16gmemalign16o128i64div8i64div81_tensorptrbf16gmemalign16o1281_tensorptrbf16gmemalign16o128i64div8i_0
1.2,14331314,2632,5445.0,5280.0,1280,21536,2555.8,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<(bool)0, (unsigned int)128, (unsigned int)8, (unsigned int)16, __nv_bfloat16, int>(T5 *, T5 *, T5 *, T5 *, float *, T6 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
