PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
54648,54648,0,24,24,17324752.3,16639019.5,8823858,39812552,6378616.7,1663177.4,4520.0,3997,39811120,8125477.8,15660432.3,16053486.5,152,25376515,5373094.4,1142.6,1151.0,1088,1280,39.4,cudaLaunchKernel,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
54648,54648,0,24,24,16159953.6,16555057.5,540967,25871486,5368846.0,3916.9,3854.5,3482,5726,441.3,15638047.5,16032148.5,727,25355901,5369699.1,517989.2,517779.0,506099,534514,5989.1,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
54648,54648,0,514,514,12895355.8,13154498.0,4043697,32057843,5231248.6,7009.3,6817.5,5757,62729,2571.4,12874077.3,13133082.0,4031508,32029646,5226140.7,14269.2,14559.0,5152,21279,5393.4,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
54648,54648,0,608,607,12745747.0,12979522.0,36300,32037544,5270168.6,4829.1,4724.0,3638,35579,1497.5,12760533.6,12997932.0,440919,32031285,5249063.2,1372.6,1376.0,1088,1664,69.5,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
54648,54648,0,94,93,12196773.9,11439932.0,1272271,39810246,5908611.4,112838.4,4268.0,3853,10203979,1052013.4,12212877.9,11535015.0,1267265,39803439,5936853.6,993.3,960.0,928,1824,136.0,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
54648,54648,0,94,93,12089068.2,11624394.0,471775,25841090,5389215.1,39080.8,4724.0,4364,3217643,331370.3,12173644.1,11712977.0,457482,25830364,5337884.1,5853.1,5631.0,5504,8128,455.5,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
54648,54648,0,70,70,10697244.8,10687333.0,476625,25191091,4756216.4,4143.5,4055.5,3747,6353,350.9,10224622.9,10212711.5,428,24713796,4754440.0,468478.3,468291.5,463828,473972,3031.5,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
54648,54648,0,1932,1932,10286813.5,9920957.0,123305,24952187,4372436.0,3188.1,3046.0,2664,11725,543.2,10152619.3,9776019.0,189,24791234,4366385.0,131006.2,113565.0,102462,208858,30586.5,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
54648,54648,0,70,70,10249169.2,10236286.0,51161,24737464,4753719.8,4959.9,4243.5,3894,47655,5185.6,10241200.9,10229215.5,498,24730272,4755094.8,3008.4,3008.0,2912,3296,58.6,cudaLaunchKernel,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
54648,54648,0,1736,1736,10197396.1,9767421.5,90911,24807949,4177663.0,3222.2,3101.5,2666,11416,491.7,10127951.3,9696457.5,385,24729738,4176549.9,66222.6,75358.0,27999,85566,13916.3,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
