Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
82.1,3537802292,4046,874395.0,110057.5,742,11052603,2255014.5,cudaEventSynchronize
5.8,250414159,13764,18193.4,4200.0,2567,11038177,357094.0,cudaMemcpyAsync
5.4,233684540,627,372702.6,2966.0,738,10736269,1523690.6,cudaStreamSynchronize
4.2,183160001,46112,3972.1,3403.0,2643,11530625,60201.5,cudaLaunchKernel
1.2,51306965,484,106006.1,67352.0,30543,784017,102098.3,cudaGraphLaunch_v10000
0.4,15659571,5677,2758.4,2464.0,1841,396788,6283.4,cudaEventRecordWithFlags_v11010
0.2,9861221,2905,3394.6,3241.0,2738,49817,1042.8,cuLaunchKernel
0.2,9834748,2545,3864.3,3255.0,2253,124681,2793.5,cudaMemsetAsync
0.1,3614769,1599,2260.6,2184.0,1665,14163,455.3,cudaEventRecord
0.1,3182590,4516,704.7,606.0,260,64961,1014.3,cudaEventCreateWithFlags
0.1,2738884,4841,565.8,459.0,309,28954,506.3,cudaEventQuery
0.1,2432451,4480,543.0,397.0,304,386016,5764.9,cudaEventDestroy
0.1,2417553,7337,329.5,307.0,241,12143,216.2,cudaStreamIsCapturing_v10000
0.0,1371937,9,152437.4,166712.0,3703,303726,98950.8,cudaMalloc
0.0,1206924,1170,1031.6,912.0,519,7375,485.5,cudaStreamWaitEvent
0.0,993103,2905,341.9,286.0,237,13413,387.0,cuKernelGetFunction
0.0,594995,64,9296.8,6493.5,2614,28603,6240.7,cudaHostAlloc
0.0,1887,1,1887.0,1887.0,1887,1887,0.0,cudaFree
