PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
53956,54076,0,585,585,10309402.6,9223397.0,120558,22391157,6310405.5,15370.6,5199.0,3854,5845647,241478.0,10274033.5,9202287.0,425,22348983,6311584.5,19998.5,18112.0,5504,38815,12234.6,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
53956,54076,0,585,583,10286713.1,9210274.0,51755,22378565,6321202.7,4539.8,4241.0,3602,69421,3428.7,10316120.5,9222477.0,434073,22373089,6303484.7,1324.9,1344.0,1152,1536,62.6,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
53956,54076,0,1170,1165,7183216.7,6222969.0,5750,22357066,6108847.8,4679.5,4132.0,3237,236722,7149.5,7208078.9,6229157.0,38,22351936,6104312.3,1266.6,1184.0,992,1664,157.1,cudaLaunchKernel,"sglang::<unnamed>::write_token_pool_kernel(int *, long, long, long, const long *, const long *, const int *, long)"
53956,54076,0,484,483,4898401.4,4504499.5,6475,11217532,3814681.6,4112.3,3861.0,3187,42410,2477.3,4902098.9,4504064.0,258,11211557,3812233.3,2319.2,2336.0,1952,2688,131.7,cudaLaunchKernel,"sglang::flashinfer_backend_detail::build_decode_indices_kernel(const int *, long, long, long, const int *, const int *, int *, int)"
53956,54076,0,1170,1168,4069684.7,3179942.0,5317,11249546,3941245.6,3753.0,3623.0,2967,22380,878.1,4071611.7,3175003.5,445,11244438,3941024.3,1280.5,1216.0,960,1728,177.6,cudaLaunchKernel,"sglang::<unnamed>::gather_int32_2d_kernel(const int *, long, long, long, const long *, const long *, int *, long)"
53956,54076,0,21,21,3123178.9,2889859.0,1875027,5788385,844448.4,4277.6,4225.0,3578,5615,466.5,2602678.5,2368072.0,1367526,5255075,841670.6,516222.8,517267.0,503379,528690,4890.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
53956,54076,0,2156,2156,2099703.8,2401190.0,108760,5557318,885670.4,3347.0,3190.0,2738,49817,1163.6,1967079.0,2251221.5,317,5326562,869463.7,129277.8,104317.0,102525,346679,37830.5,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
53956,54076,0,80,80,1910535.8,2062447.5,469670,3174898,814795.8,4470.1,4359.0,3937,6787,488.3,1438126.8,1588281.5,353,2698258,812788.8,467939.0,466836.0,464244,479283,3155.4,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
53956,54076,0,1624,1624,1898572.9,2131651.0,33028,5331186,931911.6,3440.9,3316.0,2770,9858,549.5,1825630.9,2052431.5,957,5160547,918380.9,69501.2,75518.0,28351,168060,19641.4,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
53956,54076,0,101,99,1838392.2,1793653.0,6071,11530893,1350694.1,118939.9,4336.0,3774,11530625,1146867.2,1753324.0,1788627.0,746,5309027,929336.3,864.3,832.0,831,1792,103.9,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
