Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.6,3140029219,1220,2573794.4,3542.5,1640,25274849,3503316.5,cudaEventSynchronize
4.4,152965585,23213,6589.7,3493.0,2580,39932743,274555.3,cudaLaunchKernel
1.7,59705439,15980,3736.3,3568.0,2961,75127,1095.6,cudaLaunchKernelExC_v11060
1.5,50898888,10144,5017.6,4458.0,2523,96017,2328.6,cudaMemcpyAsync
1.0,36778304,516,71275.8,60053.0,52819,531784,47129.6,cudaGraphLaunch_v10000
0.6,20939444,7755,2700.1,2462.0,1551,100864,1491.1,cudaEventRecordWithFlags_v11010
0.3,11252066,2682,4195.4,3264.5,2337,16493,1933.2,cudaMemsetAsync
0.2,8221189,12188,674.5,520.0,327,11470,522.2,cudaEventQuery
0.2,7963992,2378,3349.0,3198.0,2683,12344,588.4,cuLaunchKernel
0.1,5160749,13000,397.0,388.0,230,11318,165.7,cuKernelGetFunction
0.1,3052481,8887,343.5,307.0,228,4933,114.2,cudaStreamIsCapturing_v10000
0.1,1963489,1240,1583.5,1512.0,444,3918,339.7,cudaEventCreateWithFlags
0.0,1303582,6,217263.7,198415.5,145405,327793,63803.0,cudaMalloc
0.0,1262831,610,2070.2,2091.5,1563,3178,169.3,cudaStreamWaitEvent
0.0,1188740,91,13063.1,13023.0,3810,123585,13738.7,cudaHostAlloc
0.0,1172100,1220,960.7,911.0,614,3056,217.5,cudaEventDestroy
0.0,900727,10622,84.8,82.0,50,1765,27.6,cuFuncGetName
