PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
64841,64841,0,26,25,18500093.9,17390970.0,8731385,39933363,6981536.1,1540479.6,4797.5,4341,39932743,7830516.0,17636830.9,17152176.0,8725269,28802160,5555850.3,1147.2,1136.5,1056,1280,47.6,cudaLaunchKernel,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
64841,64841,0,26,26,17455884.1,17243368.0,542278,29294761,6445484.5,4073.0,3931.0,3489,7077,651.2,16936053.0,16722334.0,243,28779167,6446467.0,515758.1,516140.0,503562,534958,6684.2,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
64841,64841,0,516,516,12865331.6,13138052.0,3994691,35285200,5305670.7,7509.0,7250.0,6276,71879,2986.0,12843552.2,13116421.5,3982421,35256157,5300655.2,14270.3,14562.0,5121,21284,5392.8,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
64841,64841,0,610,609,12706748.9,12651944.0,40930,35262387,5412053.6,4879.9,4751.0,3742,40773,1691.2,12721346.0,12674044.0,420521,35255565,5391983.6,1379.2,1377.0,1088,2080,70.9,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
64841,64841,0,94,93,12116476.1,11262771.0,1159456,39926453,6365610.8,114449.2,4283.0,3840,10356774,1067774.5,12130086.8,11271886.0,1154458,39919881,6397383.8,994.9,960.0,928,1825,135.1,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
64841,64841,0,94,93,12004926.0,11530143.0,455014,29260513,5875771.5,40405.4,4689.5,4342,3345188,344528.4,12087209.7,11619805.0,439705,29249366,5837611.5,5902.5,5665.0,5505,8193,442.4,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
64841,64841,0,4088,4087,10357141.3,9413649.5,66308,39950700,5074710.1,3290.3,3147.0,2580,38715,893.4,10273767.1,9336380.0,29,39703883,5044540.5,82597.3,68954.0,27812,489064,58812.7,cudaLaunchKernel,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
64841,64841,0,1904,1904,10043606.7,9623541.0,123667,25082176,4380663.3,3340.4,3188.0,2773,12344,588.6,9912047.1,9489285.5,186,24923686,4375388.5,128219.3,106320.0,102511,211519,29425.3,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
64841,64841,0,68,68,9924187.9,10041727.0,475509,18300193,4164951.2,4174.6,4031.0,3735,9366,718.9,9451534.3,9565343.5,362,17822871,4162985.7,468478.9,468532.5,463812,473830,3077.0,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
64841,64841,0,1484,1484,9792065.5,9252090.5,90529,25134430,4385680.7,3258.3,3136.5,2674,8944,485.2,9724126.6,9188932.0,356,25055468,4383250.8,64680.6,75403.0,22211,85357,16490.8,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
