Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
82.4,3549240909,3958,896725.8,138389.5,697,11027007,2250821.6,cudaEventSynchronize
6.2,268226418,623,430540.0,2780.0,769,10228668,1622536.9,cudaStreamSynchronize
5.8,247875468,13744,18035.2,3741.0,2185,11014364,373543.0,cudaMemcpyAsync
3.6,153230188,42203,3630.8,3044.0,2395,12365032,70674.2,cudaLaunchKernel
1.0,43581713,484,90044.9,56999.0,28802,636427,77506.1,cudaGraphLaunch_v10000
0.3,12833760,5581,2299.5,2122.0,534,347574,5204.6,cudaEventRecordWithFlags_v11010
0.2,8626976,2710,3183.4,2699.5,2033,11023,1152.2,cudaMemsetAsync
0.2,7894161,2655,2973.3,2922.0,2482,10116,399.9,cuLaunchKernel
0.1,3040022,1581,1922.8,1867.0,1473,26232,707.4,cudaEventRecord
0.1,2937249,4426,663.6,606.0,234,9301,270.3,cudaEventCreateWithFlags
0.1,2711934,4390,617.8,445.0,303,603773,9106.1,cudaEventDestroy
0.1,2546841,4781,532.7,446.0,301,2978,236.2,cudaEventQuery
0.1,2191642,7234,303.0,291.0,231,13481,198.2,cudaStreamIsCapturing_v10000
0.0,1394820,8,174352.5,183920.0,3853,317638,121395.3,cudaMalloc
0.0,1150684,1164,988.6,915.5,540,3591,381.7,cudaStreamWaitEvent
0.0,851176,2655,320.6,280.0,232,6387,231.7,cuKernelGetFunction
0.0,548789,64,8574.8,6788.0,2716,23733,5215.6,cudaHostAlloc
0.0,409933,2371,172.9,139.0,121,52879,1096.8,cudaGetDevice
0.0,78940,27,2923.7,408.0,387,68042,13014.1,cudaFuncSetAttribute
0.0,52467,661,79.4,73.0,62,1519,64.4,cuDevicePrimaryCtxGetState
0.0,22102,136,162.5,148.0,134,754,72.3,cudaDeviceGetAttribute
0.0,15616,253,61.7,55.0,46,713,47.3,cudaGetLastError
0.0,14542,27,538.6,479.0,450,1682,234.0,cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,14055,29,484.7,360.0,312,2875,488.4,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,8912,162,55.0,48.5,42,276,30.1,cuCtxGetCurrent
0.0,8562,54,158.6,145.5,132,519,57.1,cuOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,5397,53,101.8,93.0,78,387,47.4,cuFuncGetAttribute
0.0,2134,1,2134.0,2134.0,2134,2134,0.0,cudaFree
0.0,823,1,823.0,823.0,823,823,0.0,cuCtxGetLimit
