Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
25.2,297234546,4060,73210.5,66186.0,27780,224706,37837.3,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
23.3,274870826,2100,130890.9,105616.5,102480,346709,39037.2,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
14.2,168235684,2744,61310.4,67146.0,7169,158648,35147.7,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<(flashinfer::MaskMode)1, (flashinfer::PosEncodingMode)0, (unsigned int)2, (unsigned int)8, (unsigned int)2, (unsigned int)4, (unsigned int)1, float, flashinfer::ComposedAttention<flashinfer::BatchPrefillPagedParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>, (unsigned int)2>>(flashinfer::uint_fastdiv, T9::ParamsT)"
8.9,105534151,1512,69797.7,75499.0,22083,168090,20393.6,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
4.7,55179595,952,57961.8,52136.0,51688,149975,22755.8,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn
3.0,35297575,1120,31515.7,26949.0,16355,79084,11666.7,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn
3.0,35181618,75,469088.2,469288.0,464231,478474,3574.9,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
2.9,34717892,5586,6215.2,5600.5,1632,25828,3240.0,"void flashinfer::norm::RMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, float, float)"
2.2,25711390,2744,9370.0,9153.0,1696,31685,4554.3,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<(bool)0, (unsigned int)128, (unsigned int)8, (unsigned int)16, __nv_bfloat16, int>(T5 *, T5 *, T5 *, T5 *, float *, float *, T6 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
1.8,21465137,5488,3911.3,3520.0,1600,13666,1787.4,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
