PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
64148,64269,0,582,581,10251849.4,9312046.5,450580,22043804,6142175.8,17589.5,4479.0,3575,7612795,315374.1,10231756.2,9326776.0,441117,22001668,6136222.6,20085.4,18147.0,5537,38374,12102.8,cudaLaunchKernel,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
64148,64269,0,582,581,10227732.0,9299211.0,91843,22032616,6154695.2,3954.1,3788.0,3174,91843,3662.2,10240045.7,9326266.0,436832,22027344,6145488.4,1328.8,1344.0,1121,1536,62.7,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
64148,64269,0,1164,1163,7109609.7,6207986.0,5538,22019928,6016044.5,3931.7,3607.0,2860,229936,6682.3,7110524.9,6203146.0,97,22015796,6015490.4,1263.0,1185.0,960,1729,161.5,cudaLaunchKernel,"sglang::<unnamed>::write_token_pool_kernel(int *, long, long, long, const long *, const long *, const int *, long)"
64148,64269,0,484,484,4767689.3,4324671.5,6457,11008137,3782389.5,3653.5,3579.0,2977,31237,1286.0,4761721.2,4319396.0,462,11001934,3782430.0,2314.6,2336.0,1984,2656,124.3,cudaLaunchKernel,"sglang::flashinfer_backend_detail::build_decode_indices_kernel(const int *, long, long, long, const int *, const int *, int *, int)"
64148,64269,0,1164,1164,3980588.9,3151285.0,4863,11038446,3891581.9,3317.0,3227.5,2733,22413,728.7,3975991.4,3146623.0,447,11033769,3891582.9,1280.5,1216.0,960,1729,173.0,cudaLaunchKernel,"sglang::<unnamed>::gather_int32_2d_kernel(const int *, long, long, long, const long *, const long *, int *, long)"
64148,64269,0,23,23,3122668.3,2924873.0,1660313,5729573,885236.4,3636.1,3599.0,3162,4831,408.0,2602780.5,2403961.0,1157462,5194293,881104.5,516251.7,516304.0,499533,530449,5462.4,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
64148,64269,0,2100,2100,2146815.9,2416125.5,108090,5553310,905127.4,2956.8,2911.0,2482,10116,391.3,2012968.2,2260244.0,98,5321696,887182.2,130890.9,105616.5,102480,346709,39037.2,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
64148,64269,0,75,74,1981670.6,2053583.0,469468,3167386,745253.8,4108.1,3887.0,3478,11898,1053.5,1528869.1,1584184.0,701,2694134,726791.6,469088.2,469288.0,464231,478474,3574.9,cudaLaunchKernel,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
64148,64269,0,98,97,1933151.3,1778311.0,5516,12365032,1387836.1,129873.2,3733.5,3463,12365032,1248679.3,1820994.9,1773022.0,815,5246319,894798.1,874.2,832.0,800,2304,161.8,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
64148,64269,0,1512,1512,1919905.5,2134874.0,47987,5324660,933095.5,3046.0,2967.0,2567,14133,597.5,1847061.7,2056513.5,531,5154498,918785.7,69797.7,75499.0,22083,168090,20393.6,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
