Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.6,3138426880,1222,2568270.8,3460.0,1853,21674001,3438537.9,cudaEventSynchronize
4.4,153323821,23882,6420.1,3386.0,2659,39683134,269149.8,cudaLaunchKernel
1.7,60710444,16490,3681.7,3540.0,2978,57281,857.7,cudaLaunchKernelExC_v11060
1.5,52028849,10144,5129.0,4514.0,2536,91688,2530.1,cudaMemcpyAsync
1.0,34364336,514,66856.7,57017.5,50800,615206,41618.2,cudaGraphLaunch_v10000
0.6,20504551,7773,2637.9,2416.0,1572,95576,1407.6,cudaEventRecordWithFlags_v11010
0.3,11459226,2795,4099.9,3319.0,2312,28409,1825.2,cudaMemsetAsync
0.2,8128405,12212,665.6,518.0,320,15024,522.5,cudaEventQuery
0.2,7697783,2346,3281.2,3150.0,2768,11432,485.4,cuLaunchKernel
0.2,5427738,13307,407.9,398.0,245,8058,142.4,cuKernelGetFunction
0.1,3015037,8904,338.6,307.0,230,11906,154.9,cudaStreamIsCapturing_v10000
0.1,2261694,1241,1822.5,1773.0,560,15133,684.9,cudaEventCreateWithFlags
0.0,1503517,1222,1230.4,1151.0,720,14599,612.4,cudaEventDestroy
0.0,1422249,611,2327.7,2221.0,1843,40748,1731.3,cudaStreamWaitEvent
0.0,1114864,6,185810.7,170097.0,135556,260283,44741.4,cudaMalloc
0.0,999422,91,10982.7,10690.0,3677,33649,5889.7,cudaHostAlloc
0.0,979514,10961,89.4,89.0,50,662,26.7,cuFuncGetName
