Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
30.4,358268283,4340,82550.3,69988.0,27681,489469,56211.2,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
19.6,230612365,1820,126710.1,106054.5,102470,208748,27991.5,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
14.0,164529030,2716,60577.7,67348.0,8896,216716,36915.2,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)128, (unsigned int)2, (unsigned int)2, (unsigned int)8, (unsigned int)8, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, PagedParams>(T2)"
8.6,101215454,1540,65724.3,75365.0,22209,85413,15136.5,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
3.8,45257972,812,55736.4,52067.0,51587,148905,17581.4,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn
3.0,35134094,75,468454.6,468412.0,463867,474652,3072.6,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
2.8,32553824,1092,29811.2,26882.0,16257,57348,8163.4,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn
1.7,20467912,336,60916.4,61923.5,41123,86854,18823.5,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn
1.6,18719307,980,19101.3,19010.0,6657,30146,6338.6,"void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)16, (unsigned int)8, (unsigned int)4, __nv_bfloat16, __nv_bfloat16, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)"
1.5,17541771,5432,3229.3,2880.0,1440,30690,2508.8,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o102410241_tensorptrbf16gmemalign128o102410241_tensorptrbf16gmemalign_0
