Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.8,35271017835,4910,7183506.7,6190774.0,1000,111706386,8551671.4,epoll_wait
17.4,8570580242,2960,2895466.3,1652.0,1000,100133584,12917501.1,poll
10.2,5000635473,10,500063547.3,500065496.5,500040950,500069846,8254.5,pthread_cond_timedwait
0.3,149113014,20116,7412.7,7482.0,1111,67182,2789.7,send
0.2,77991835,202,386098.2,8475.0,2058,76203122,5361010.5,accept4
0.1,29143293,2372,12286.4,1187.0,1000,21763922,450884.9,read
0.0,10319408,3015,3422.7,3242.0,1050,85000,2058.5,write
0.0,9391492,1826,5143.2,4915.0,1073,81784,3229.2,recv
0.0,2465339,1515,1627.3,1260.0,1000,35237,1325.7,epoll_ctl
0.0,1349720,16,84357.5,70247.5,43892,184309,42447.5,pthread_create
0.0,1132721,58,19529.7,1421.5,1000,119173,34170.2,ioctl
0.0,295182,1,295182.0,295182.0,295182,295182,0.0,pthread_rwlock_wrlock
0.0,292367,16,18272.9,5390.5,2280,110044,34092.0,futex
0.0,280440,25,11217.6,3807.0,1338,77544,17903.3,open64
0.0,127798,3,42599.3,46791.0,30603,50404,10545.0,pthread_mutex_lock
0.0,117279,2,58639.5,58639.5,52043,65236,9328.9,waitpid
0.0,59701,24,2487.5,1239.5,1120,15451,3050.4,fread
0.0,54978,8,6872.3,6533.0,1017,13544,3784.1,pthread_cond_signal
0.0,52684,3,17561.3,16741.0,15129,20814,2929.9,mmap64
0.0,47835,6,7972.5,7166.0,5552,11423,2562.0,fopen64
0.0,31005,6,5167.5,4871.0,4530,6315,725.7,fopen
0.0,25036,4,6259.0,6706.0,2730,8894,2852.2,mmap
0.0,23499,3,7833.0,6545.0,2880,14074,5707.1,statx
0.0,20061,5,4012.2,4118.0,2059,5894,1747.2,pipe2
0.0,19527,4,4881.8,5194.0,2451,6688,1977.7,munmap
0.0,17847,11,1622.5,1536.0,1028,2822,564.9,fclose
0.0,14155,3,4718.3,4743.0,4616,4796,92.5,fputc
0.0,6507,3,2169.0,1828.0,1191,3488,1185.9,flock
0.0,4846,3,1615.3,1141.0,1053,2652,898.9,dup2
0.0,4624,1,4624.0,4624.0,4624,4624,0.0,pthread_cond_broadcast
0.0,4463,2,2231.5,2231.5,1974,2489,364.2,fwrite
0.0,2515,2,1257.5,1257.5,1012,1503,347.2,sigaction
