Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
81.6,3514915385,4045,868953.1,149076.0,652,10977819,2193824.7,cudaEventSynchronize
7.3,314196491,13943,22534.4,3929.0,2512,10957153,416656.9,cudaMemcpyAsync
5.5,237516357,637,372867.1,2932.0,809,10229425,1460715.7,cudaStreamSynchronize
3.5,151670402,38011,3990.2,3293.0,2705,12575966,71888.6,cudaLaunchKernel
0.9,38702348,487,79470.9,51956.0,31502,589291,64779.5,cudaGraphLaunch_v10000
0.3,14684481,5694,2578.9,2421.0,551,320975,4834.2,cudaEventRecordWithFlags_v11010
0.2,8730494,2688,3248.0,2707.0,2198,34588,1434.2,cudaMemsetAsync
0.2,8211020,2571,3193.7,3109.0,2711,20249,710.1,cuLaunchKernel
0.1,3430674,1608,2133.5,2066.0,1704,15501,580.2,cudaEventRecord
0.1,2824247,4525,624.1,512.0,247,58426,992.9,cudaEventCreateWithFlags
0.1,2633628,4489,586.7,390.0,299,581197,8694.5,cudaEventDestroy
0.1,2624752,4847,541.5,454.0,302,9921,299.6,cudaEventQuery
0.1,2366512,7361,321.5,289.0,234,20467,459.3,cudaStreamIsCapturing_v10000
0.0,1180997,1176,1004.2,858.0,563,18337,758.8,cudaStreamWaitEvent
0.0,1099993,7,157141.9,167956.0,6032,279138,113654.2,cudaMalloc
0.0,861472,2571,335.1,296.0,236,6853,265.3,cuKernelGetFunction
0.0,578924,3526,164.2,140.0,124,44468,754.7,cudaGetDevice
0.0,523124,65,8048.1,6110.0,2711,24581,5186.9,cudaHostAlloc
0.0,109962,72,1527.3,425.0,349,78894,9247.6,cudaFuncSetAttribute
0.0,70634,905,78.0,75.0,62,585,23.2,cuDevicePrimaryCtxGetState
0.0,38221,77,496.4,304.0,275,4894,743.3,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,36902,228,161.9,148.0,132,892,63.6,cudaDeviceGetAttribute
0.0,35848,72,497.9,456.5,417,2058,218.0,cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,29463,461,63.9,56.0,44,632,43.5,cudaGetLastError
0.0,12890,254,50.7,48.0,40,171,13.8,cuCtxGetCurrent
0.0,9729,56,173.7,164.5,132,779,85.7,cuOccupancyMaxActiveBlocksPerMultiprocessorWithFlags
0.0,5443,56,97.2,91.0,78,357,37.7,cuFuncGetAttribute
0.0,1907,1,1907.0,1907.0,1907,1907,0.0,cudaFree
0.0,944,1,944.0,944.0,944,944,0.0,cuCtxGetLimit
