Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.0,305089180144,652,467928190.4,16132589.5,1021,3319153392,832041626.9,epoll_wait
1.9,6212299175,667,9313791.9,6975845.0,48271,101469802,9855426.6,pthread_cond_wait
1.6,5000563791,10,500056379.1,500064037.5,500031687,500067925,13545.8,pthread_cond_timedwait
1.5,4805513319,48,100114860.8,100114568.0,100089852,100131289,6371.8,poll
0.0,88631763,158,560960.5,4388.0,1471,56915451,5142195.1,accept
0.0,5721832,128,44701.8,44745.5,13601,76253,14810.1,sendmsg
0.0,3197191,86,37176.6,40962.0,14177,82621,16571.7,shutdown
0.0,1963447,749,2621.4,2540.0,1197,7669,619.0,pthread_cond_signal
0.0,1586760,524,3028.2,2771.5,1000,14995,1369.9,recv
0.0,1433764,457,3137.3,2959.0,1016,10001,1575.5,epoll_ctl
0.0,699266,69,10134.3,1720.0,1026,134525,27401.9,ioctl
0.0,644092,3,214697.3,55009.0,21987,567096,305632.5,pthread_rwlock_wrlock
0.0,586768,16,36673.0,14443.0,1112,354033,85778.9,pthread_mutex_lock
0.0,220107,79,2786.2,2722.0,1099,7960,1314.6,fflush
0.0,47961,41,1169.8,1073.0,1003,1997,241.3,write
0.0,13458,1,13458.0,13458.0,13458,13458,0.0,pthread_rwlock_rdlock
0.0,9835,2,4917.5,4917.5,4498,5337,593.3,munmap
0.0,9487,2,4743.5,4743.5,3659,5828,1533.7,mmap
0.0,3263,2,1631.5,1631.5,1376,1887,361.3,fwrite
0.0,2042,1,2042.0,2042.0,2042,2042,0.0,pthread_cond_broadcast
