Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.2,3031284396,1244,2436723.8,3613.0,1655,21747574,3321957.4,cudaEventSynchronize
3.7,126703857,23545,5381.3,3685.0,2776,13925303,101317.6,cudaLaunchKernel
2.0,66559609,16320,4078.4,3851.0,3121,69100,1503.7,cudaLaunchKernelExC_v11060
1.8,59459887,10314,5765.0,4765.0,2808,576431,7881.2,cudaMemcpyAsync
1.2,40678564,526,77335.7,61676.5,54685,1016609,73355.1,cudaGraphLaunch_v10000
0.7,23859598,7903,3019.1,2690.0,1698,123979,2606.3,cudaEventRecordWithFlags_v11010
0.4,12314125,2638,4668.0,3591.0,2544,88260,2876.7,cudaMemsetAsync
0.3,9835523,2657,3701.7,3417.0,2967,38897,1469.1,cuLaunchKernel
0.3,9062863,12420,729.7,525.0,304,64247,1098.2,cudaEventQuery
0.2,5334933,13505,395.0,375.0,232,20579,250.7,cuKernelGetFunction
0.1,3280523,9057,362.2,304.0,230,17590,408.0,cudaStreamIsCapturing_v10000
0.1,2308986,1264,1826.7,1600.0,545,114174,3558.1,cudaEventCreateWithFlags
0.0,1512103,1244,1215.5,1032.5,651,41161,1741.0,cudaEventDestroy
0.0,1366661,622,2197.2,2120.0,1630,32904,1271.2,cudaStreamWaitEvent
0.0,1274299,6,212383.2,217505.0,173588,243720,24497.6,cudaMalloc
0.0,1212830,91,13327.8,12019.0,3916,73532,10070.3,cudaHostAlloc
0.0,947431,10848,87.3,82.0,48,11181,110.7,cuFuncGetName
