Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.7,35247104673,4780,7373871.3,6329417.0,1003,112098483,8332871.4,epoll_wait
17.6,8647101139,2858,3025577.7,1843.5,1000,100222448,13013413.9,poll
10.2,5000652577,10,500065257.7,500065987.0,500052457,500069617,4688.4,pthread_cond_timedwait
0.3,162551978,20130,8075.1,7605.0,1539,97244,3325.6,send
0.1,58312704,218,267489.5,9419.5,2557,56209614,3806342.2,accept4
0.1,27698890,1924,14396.5,1276.0,1002,20847621,479567.3,read
0.0,11612808,3044,3815.0,3338.5,1019,159260,5141.0,write
0.0,10575828,1859,5689.0,5465.0,1017,64401,3264.8,recv
0.0,2472048,1295,1908.9,1523.0,1001,25312,1331.4,epoll_ctl
0.0,1459328,16,91208.0,80085.5,43173,196521,48449.4,pthread_create
0.0,1291037,67,19269.2,1432.0,1008,125260,35563.3,ioctl
0.0,622980,3,207660.0,37396.0,31552,554032,299981.2,pthread_mutex_lock
0.0,279002,16,17437.6,5670.0,1394,97926,26510.6,futex
0.0,206742,25,8269.7,3343.0,1066,72951,14194.2,open64
0.0,193456,54,3582.5,2202.0,1004,17425,3322.5,pthread_cond_signal
0.0,149723,2,74861.5,74861.5,70635,79088,5977.2,waitpid
0.0,104641,1,104641.0,104641.0,104641,104641,0.0,pthread_rwlock_wrlock
0.0,59411,24,2475.5,1203.5,1026,15394,3048.6,fread
0.0,44316,6,7386.0,6590.5,4808,11080,2596.4,fopen64
0.0,32551,2,16275.5,16275.5,16217,16334,82.7,mmap64
0.0,30916,6,5152.7,5140.0,3983,6147,808.9,fopen
0.0,22816,3,7605.3,7953.0,6220,8643,1248.4,mmap
0.0,19692,3,6564.0,6626.0,5461,7605,1073.3,munmap
0.0,18756,11,1705.1,1759.0,1133,2652,499.7,fclose
0.0,14450,3,4816.7,4582.0,4289,5579,676.3,fputc
0.0,13996,5,2799.2,2342.0,1459,4448,1402.0,pipe2
0.0,11031,4,2757.8,2587.0,1975,3882,918.9,flock
0.0,10503,3,3501.0,3553.0,2247,4703,1228.8,pthread_cond_broadcast
0.0,8656,2,4328.0,4328.0,2118,6538,3125.4,statx
0.0,4862,2,2431.0,2431.0,2030,2832,567.1,fwrite
