Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
81.9,3522086967,3947,892345.3,147170.0,756,10880517,2218777.0,cudaEventSynchronize
7.1,306483754,13856,22119.2,3993.0,2482,11036569,422972.6,cudaMemcpyAsync
5.5,235504802,622,378625.1,3011.5,821,10368671,1468860.5,cudaStreamSynchronize
3.4,145417479,36454,3989.1,3314.0,2690,12114577,70899.1,cudaLaunchKernel
0.9,40023271,492,81348.1,55419.5,29749,285933,60958.6,cudaGraphLaunch_v10000
0.3,14528555,5591,2598.6,2367.0,1853,312867,5890.7,cudaEventRecordWithFlags_v11010
0.2,8756568,2549,3435.3,2842.0,2239,13844,1278.7,cudaMemsetAsync
0.2,8267997,2542,3252.6,3156.0,2673,27863,880.7,cuLaunchKernel
0.1,3495573,1594,2193.0,2120.0,1686,36383,1119.2,cudaEventRecord
0.1,2843713,4420,643.4,564.0,255,17399,480.4,cudaEventCreateWithFlags
0.1,2623657,4820,544.3,449.0,310,2984,254.7,cudaEventQuery
0.1,2412957,4384,550.4,439.0,322,315443,4776.7,cudaEventDestroy
0.1,2300960,7266,316.7,300.0,234,10365,159.0,cudaStreamIsCapturing_v10000
0.0,1394105,8,174263.1,201017.0,3376,307515,113621.7,cudaMalloc
0.0,1157095,1178,982.3,881.5,508,3443,411.1,cudaStreamWaitEvent
0.0,864334,2542,340.0,292.0,241,15510,374.2,cuKernelGetFunction
0.0,578133,67,8628.9,7653.0,2594,25939,5555.2,cudaHostAlloc
0.0,1768,1,1768.0,1768.0,1768,1768,0.0,cudaFree
