Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
25.8,297872399,4004,74393.7,66265.0,27901,224875,40273.5,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn
23.8,275129885,2128,129290.4,105062.0,102454,262247,32556.4,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)
14.6,168188951,2716,61925.2,70617.5,7007,134803,34255.1,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<(flashinfer::MaskMode)1, (flashinfer::PosEncodingMode)0, (unsigned int)2, (unsigned int)8, (unsigned int)2, (unsigned int)4, (unsigned int)1, float, flashinfer::ComposedAttention<flashinfer::BatchPrefillPagedParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>, (unsigned int)2>>(flashinfer::uint_fastdiv, T9::ParamsT)"
9.2,105808621,1596,66296.1,75480.0,22142,85240,15003.0,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
5.4,62281947,1008,61787.6,52123.0,51643,150034,27400.2,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_tn
3.3,37865392,1176,32198.5,26942.0,16222,78201,11762.1,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn
3.1,35206129,75,469415.1,469971.0,463796,476691,3776.1,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
2.3,26692105,5432,4913.9,4320.0,2015,19614,2324.6,"void sglang::<unnamed>::qk_rmsnorm_3d_strided_kernel<__nv_bfloat16>(T1 *, const T1 *, long, long, long, long, long, float)"
2.3,26062283,2716,9595.8,9440.0,1663,23166,4310.5,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<(bool)0, (unsigned int)128, (unsigned int)8, (unsigned int)16, __nv_bfloat16, int>(T5 *, T5 *, T5 *, T5 *, float *, float *, T6 *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
1.6,18907384,952,19860.7,20798.0,7007,34109,6349.4,"void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)16, (unsigned int)8, (unsigned int)4, __nv_bfloat16, __nv_bfloat16, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)"
1.4,16418093,5432,3022.5,2719.0,1631,9919,1061.1,"void flashinfer::norm::FusedAddRMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, float, float)"
1.3,15034730,2716,5535.6,4384.0,1567,47068,5781.4,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &sglang::d_silu>(T1 *, const T1 *, int)"
1.1,12483767,196,63692.7,77976.0,41180,87383,19380.5,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn
1.0,11665559,589,19805.7,17951.0,5056,38396,12063.1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
1.0,11356266,22,516193.9,518767.0,496177,524527,7426.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
0.8,9346540,336,27817.1,28029.0,22302,31197,1786.3,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_tn_align8>(T1::Params)
0.8,9303222,2716,3425.3,3231.5,1728,11967,1475.6,"void sglang::<unnamed>::store_kv_cache_kernel<__nv_bfloat16, int>(T1 *, T1 *, const T1 *, const T1 *, const T2 *, long, long, long, long)"
0.3,3510671,252,13931.2,14062.5,10335,21182,3141.2,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn
0.2,2040355,112,18217.5,16767.0,16478,24030,2564.6,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn
0.2,1892141,588,3217.9,2912.0,2144,5376,774.8,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.1,1516859,1178,1287.7,1216.0,960,1791,175.4,"sglang::<unnamed>::gather_int32_2d_kernel(const int *, long, long, long, const long *, const long *, int *, long)"
0.1,1489096,1178,1264.1,1184.0,991,1728,159.3,"sglang::<unnamed>::write_token_pool_kernel(int *, long, long, long, const long *, const long *, const int *, long)"
0.1,1141240,492,2319.6,2336.0,1983,2688,125.0,"sglang::flashinfer_backend_detail::build_decode_indices_kernel(const int *, long, long, long, const int *, const int *, int *, int)"
0.1,841010,56,15018.0,14959.0,11871,20702,2841.9,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Params)
0.1,816658,589,1386.5,1407.0,1120,1600,63.8,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,318785,194,1643.2,1536.0,1216,2240,275.2,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,236231,97,2435.4,2240.0,1696,4127,558.8,"void flashinfer::norm::RMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, float, float)"
0.0,202923,134,1514.4,1632.0,1023,2879,251.8,"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)1, (int)128, (int)1, (int)16>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,187344,97,1931.4,1824.0,1216,2976,430.0,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.0,178611,97,1841.4,1760.0,1664,2688,168.2,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
0.0,84663,97,872.8,832.0,831,1856,125.9,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
0.0,34972,19,1840.6,1632.0,1120,3520,536.3,"void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)1, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
