Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
95.0,305703097231,650,470312457.3,15947537.5,1000,3285534247,829090364.9,epoll_wait
1.9,6139059708,656,9358322.7,7046764.5,26025,102661185,9757061.1,pthread_cond_wait
1.6,5000770026,10,500077002.6,500002536.0,499964007,500258759,120193.9,pthread_cond_timedwait
1.5,4805563894,48,100115914.5,100105150.0,100058460,100153749,22128.7,poll
0.0,113084780,158,715726.5,5585.0,1992,58599922,6295912.5,accept
0.0,5737582,128,44824.9,44888.5,12795,78052,15357.0,sendmsg
0.0,2734958,85,32176.0,24769.0,6979,68726,15458.8,shutdown
0.0,1942453,742,2617.9,2478.5,1175,7972,703.8,pthread_cond_signal
0.0,1595889,515,3098.8,2767.0,1005,25773,1719.1,epoll_ctl
0.0,1526423,526,2901.9,2703.0,1012,7141,1138.0,recv
0.0,909642,66,13782.5,1708.0,1042,133028,31686.1,ioctl
0.0,371861,10,37186.1,14264.0,2598,230639,68710.9,pthread_mutex_lock
0.0,313295,2,156647.5,156647.5,11246,302049,205628.8,pthread_rwlock_wrlock
0.0,293975,83,3541.9,3406.0,1770,8515,1129.7,fflush
0.0,39028,35,1115.1,1045.0,1000,1710,166.4,write
0.0,18626,3,6208.7,5402.0,4462,8762,2260.6,mmap
0.0,17952,3,5984.0,4984.0,4545,8423,2123.6,munmap
0.0,9069,3,3023.0,2127.0,1613,5329,2013.5,pthread_cond_broadcast
0.0,4082,2,2041.0,2041.0,1337,2745,995.6,fwrite
