Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
90.5,3126908677,1236,2529861.4,3525.5,1631,21637419,3439426.0,cudaEventSynchronize
3.2,111756126,23410,4773.9,3492.0,2602,13858874,93417.9,cudaLaunchKernel
1.8,61727674,16150,3822.1,3681.0,2919,645153,5087.5,cudaLaunchKernelExC_v11060
1.5,51778104,10256,5048.6,4430.0,2490,113935,2814.2,cudaMemcpyAsync
1.0,36175522,523,69169.3,58720.0,51359,576187,39024.4,cudaGraphLaunch_v10000
0.6,21075064,7851,2684.4,2421.0,1532,105076,1625.7,cudaEventRecordWithFlags_v11010
0.3,11306551,2662,4247.4,3314.5,2330,47288,2121.2,cudaMemsetAsync
0.2,8372535,12340,678.5,526.0,315,52168,766.5,cudaEventQuery
0.2,8359967,2462,3395.6,3201.0,2723,33049,956.9,cuLaunchKernel
0.2,5242909,13196,397.3,385.0,227,2528,139.6,cuKernelGetFunction
0.1,3094821,8998,343.9,295.0,232,25617,305.5,cudaStreamIsCapturing_v10000
0.1,2561969,1256,2039.8,1755.5,479,230260,6780.4,cudaEventCreateWithFlags
0.1,2258005,1,2258005.0,2258005.0,2258005,2258005,0.0,cuLibraryGetModule
0.0,1415622,1236,1145.3,1100.5,673,14798,432.3,cudaEventDestroy
0.0,1403812,618,2271.5,2185.0,1687,59428,2307.3,cudaStreamWaitEvent
0.0,1267425,6,211237.5,210921.5,168461,256479,32814.4,cudaMalloc
0.0,968004,10735,90.2,87.0,48,1084,24.9,cuFuncGetName
0.0,964010,85,11341.3,11930.0,3771,26895,6169.5,cudaHostAlloc
0.0,190,1,190.0,190.0,190,190,0.0,cuCtxPushCurrent_v2
