Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.1,35344820967,4624,7643776.2,6637306.0,999,111130302,8264451.9,epoll_wait
17.3,8459972680,2682,3154352.2,1805.5,1000,100122925,13398117.6,poll
10.2,5000586858,10,500058685.8,500060387.5,500044571,500068477,8381.1,pthread_cond_timedwait
0.3,128564822,20119,6390.2,5803.0,1433,430838,4571.9,send
0.1,28941595,186,155600.0,6849.0,2266,27598115,2023061.2,accept4
0.1,28857019,2416,11944.1,1205.0,1000,21268713,437015.8,read
0.0,10242828,1822,5621.7,5467.5,1005,56223,2740.3,recv
0.0,10237135,3046,3360.8,3399.5,1022,15874,1136.5,write
0.0,2632146,1537,1712.5,1440.0,1000,14463,924.7,epoll_ctl
0.0,1777189,16,111074.3,116477.0,42561,199578,39980.6,pthread_create
0.0,1195244,30,39841.5,11791.5,1002,125078,43605.1,ioctl
0.0,622045,2,311022.5,311022.5,1520,620525,437702.6,pthread_mutex_lock
0.0,400495,16,25030.9,11913.5,2903,119967,32187.3,futex
0.0,269222,25,10768.9,4949.0,1188,92277,19301.5,open64
0.0,218173,1,218173.0,218173.0,218173,218173,0.0,pthread_rwlock_wrlock
0.0,147395,2,73697.5,73697.5,59211,88184,20487.0,waitpid
0.0,89691,17,5275.9,4676.0,1816,12305,3101.8,pthread_cond_signal
0.0,64435,24,2684.8,1436.0,1205,17071,3290.5,fread
0.0,46857,6,7809.5,6786.0,5200,11353,2621.3,fopen64
0.0,31522,6,5253.7,5429.0,3770,6136,851.3,fopen
0.0,27140,3,9046.7,7778.0,3055,16307,6716.5,statx
0.0,25468,3,8489.3,7643.0,5751,12074,3245.3,mmap
0.0,18276,3,6092.0,5226.0,5112,7938,1599.7,munmap
0.0,18084,11,1644.0,1545.0,1127,2460,491.6,fclose
0.0,17460,5,3492.0,2341.0,1848,6079,2001.4,pipe2
0.0,17356,2,8678.0,8678.0,8209,9147,663.3,mmap64
0.0,13013,3,4337.7,4663.0,3423,4927,803.0,fputc
0.0,8723,4,2180.8,1685.0,1210,4143,1339.1,flock
0.0,5115,2,2557.5,2557.5,2295,2820,371.2,fwrite
0.0,3251,2,1625.5,1625.5,1619,1632,9.2,pthread_cond_broadcast
0.0,1007,1,1007.0,1007.0,1007,1007,0.0,dup2
