Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
81.9,3488654698,3843,907794.6,137090.0,713,10929255,2236825.3,cudaEventSynchronize
6.5,277053057,13038,21249.7,4033.0,2518,10936423,405336.4,cudaMemcpyAsync
5.9,250725084,609,411699.6,2972.0,789,10315561,1584743.1,cudaStreamSynchronize
3.5,148108647,35304,4195.2,3241.0,2660,12982911,80609.2,cudaLaunchKernel
1.0,42507100,486,87463.2,52693.5,27687,2442245,132887.0,cudaGraphLaunch_v10000
0.3,14161517,5467,2590.4,2308.0,1916,354006,5594.5,cudaEventRecordWithFlags_v11010
0.2,9370271,2736,3424.8,2806.0,2225,47137,1818.2,cudaMemsetAsync
0.2,8669789,2599,3335.8,3058.0,2697,52821,2169.1,cuLaunchKernel
0.1,3279078,1562,2099.3,2024.0,1676,19434,710.5,cudaEventRecord
0.1,3122440,4276,730.2,435.0,289,987307,15104.3,cudaEventDestroy
0.1,2828453,4312,655.9,561.0,239,15535,544.3,cudaEventCreateWithFlags
0.1,2568808,4770,538.5,443.0,299,10915,355.5,cudaEventQuery
0.1,2270377,7118,319.0,270.0,230,29703,617.0,cudaStreamIsCapturing_v10000
0.0,1433950,8,179243.8,218292.5,3622,276398,112010.3,cudaMalloc
0.0,1235975,1160,1065.5,900.0,540,44536,1482.2,cudaStreamWaitEvent
0.0,880174,2599,338.7,286.0,236,23598,519.9,cuKernelGetFunction
0.0,669991,79,8480.9,6444.0,2271,28132,5745.7,cudaHostAlloc
0.0,1509,1,1509.0,1509.0,1509,1509,0.0,cudaFree
