Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
94.9,304208631041,674,451348117.3,16962286.5,1000,3276854678,811477071.2,epoll_wait
1.9,6164193869,661,9325558.0,6988551.0,60103,101798994,9857027.2,pthread_cond_wait
1.6,5000605739,10,500060573.9,500064475.0,500027564,500067297,11774.1,pthread_cond_timedwait
1.5,4905592345,49,100114129.5,100116370.0,100052640,100135301,13492.0,poll
0.0,98342315,165,596014.0,5520.0,1790,33686360,4351300.8,accept
0.0,6048483,128,47253.8,45886.5,19852,90849,15249.0,sendmsg
0.0,2812724,85,33090.9,29286.0,7903,67701,15236.4,shutdown
0.0,2196839,749,2933.0,2576.0,1440,58673,3408.0,pthread_cond_signal
0.0,1631063,528,3089.1,2696.0,1131,35074,2023.5,epoll_ctl
0.0,1575758,533,2956.4,2726.0,1049,28570,1655.1,recv
0.0,1326140,73,18166.3,1804.0,1117,138146,36328.5,ioctl
0.0,1046518,2,523259.0,523259.0,68049,978469,643764.2,pthread_rwlock_wrlock
0.0,1019281,1,1019281.0,1019281.0,1019281,1019281,0.0,pthread_cond_clockwait
0.0,714292,4,178573.0,11557.5,2284,688893,340242.6,pthread_mutex_lock
0.0,117012,60,1950.2,1104.5,1000,24086,4013.3,write
0.0,24765,3,8255.0,8752.0,5173,10840,2866.0,pthread_cond_broadcast
0.0,17958,3,5986.0,5633.0,4251,8074,1935.8,munmap
0.0,16127,3,5375.7,4966.0,4387,6774,1245.1,mmap
